from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1440.0,320.55975401589694,0.2226109402888173,0.18458904109589042,0.19463470319634704
CZ,AT,960.0,446.76625702759054,0.4653815177370735,0.2888127853881279,0.32968036529680367
DE,AT,6000.0,1019.5803349736385,0.16993005582893975,0.0005707762557077625,0.002054794520547945
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,282.0,0.08945410620547925,0.00031721314257262146,0.00022831050228310502,0.00022831050228310502
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1200.0,453.8623928557153,0.3782186607130961,0.2905251141552511,0.3065068493150685
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3960.0,3514.120945314841,0.8874042791199093,0.7595890410958904,0.7888127853881278
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1680.0,37.764300740470894,0.022478750440756486,0.009246575342465754,0.010844748858447488
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1200.0,0.3588124972387766,0.0002990104143656472,0.00011415525114155251,0.00022831050228310502
AT,CH,1440.0,56.97278556705855,0.039564434421568435,0.02682648401826484,0.027853881278538814
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,3240.0,811.7306032605991,0.25053413680882686,0.1,0.1113013698630137
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3780.0,2775.6174073490897,0.734290319404521,0.6648401826484018,0.6735159817351598
IT,CH,2292.0,0.0,0.0,0.0,0.0
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,1080.0,1.5621052900266854,0.0014463937870617457,0.0,0.00022831050228310502
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1800.0,33.282703787126366,0.01849039099284798,0.00022831050228310502,0.001141552511415525
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,960.0,297.94009974691295,0.310354270569701,0.28036529680365296,0.2851598173515982
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,6000.0,357.81719697840134,0.05963619949640022,0.002054794520547945,0.0061643835616438354
BE,DE,1200.0,55.6639281513264,0.046386606792772005,0.018835616438356163,0.02214611872146119
CH,DE,5520.0,964.7746901315408,0.1747780235745545,0.10171232876712329,0.11952054794520547
CZ,DE,2520.0,284.9394165981482,0.11307119706275723,0.00410958904109589,0.006506849315068493
DK,DE,3318.0,908.0061774155546,0.2736606924097512,0.052853881278538815,0.091324200913242
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,2160.0,1485.9418941883036,0.6879360621242147,0.660958904109589,0.6646118721461187
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,5100.0,0.0,0.0,0.0,0.0
NO,DE,1680.0,747.6356801579469,0.4450212381892541,0.4321917808219178,0.43424657534246575
PL,DE,3000.0,1040.7697522277367,0.3469232507425789,0.33116438356164385,0.33493150684931505
SE,DE,738.0,433.70368559515424,0.5876743707251413,0.5773972602739726,0.5792237442922374
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,3000.0,790.1462773450966,0.2633820924483655,0.2180365296803653,0.22990867579908675
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,840.0,45.04783598468473,0.053628376172243725,0.028767123287671233,0.03184931506849315
NO,DK,1968.0,819.8819330968174,0.41660667332155354,0.39714611872146116,0.40034246575342464
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,2376.0,1110.1760528679322,0.46724581349660443,0.32100456621004564,0.3495433789954338
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,3360.0,2905.9307623170807,0.8648603459277026,0.817351598173516,0.8264840182648402
