zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,644.230059484013,6004.0,-1803.7492732248022,0.11130443322114945,0.3004245958069291
BE,5360.0,2337.763622486748,4960.0,-1245.3185834315238,0.43614992956842313,0.2510722950466782
CH,7168.0,2925.2952876581526,9072.0,-3755.617500466875,0.4081048113362378,0.4139790013742146
CZ,2560.0,1323.5651211186773,2800.0,-284.48594921786366,0.5170176254369834,0.1016021247206656
DE,20824.0,1861.062855192488,17412.0,-11672.117934940614,0.08937105528200577,0.6703490658706992
DK,5456.0,1199.1745473350486,6036.0,-2875.8691082361424,0.21979005632973764,0.47645280123196526
ES,2240.0,0.8563482220319626,2080.0,-2010.2422350475654,0.00038229831340712614,0.9664626130036372
FR,9848.0,8691.62767690616,13960.0,-436.24697492806575,0.8825779525696751,0.031249783304302704
IT,7236.0,3163.7743658738345,3564.0,-1726.1724695769517,0.4372269715137969,0.4843357097578428
NL,7240.0,4237.517497417952,6440.0,-1854.3757359727506,0.5852924720190541,0.2879465428529116
NO,6188.0,1666.7330856788494,5948.0,-3006.474870680795,0.2693492381510746,0.5054597966847335
PL,1360.0,265.5262926571228,3120.0,-2293.4419913761785,0.1952399210714138,0.7350775613385188
SE,5880.0,5348.970998330452,5752.0,-150.05099328517693,0.9096889452942946,0.026086751266546755
UK,3200.0,1281.305000769033,3200.0,-1833.2391387452585,0.40040781274032283,0.5728872308578933
