from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,0.3445406456621,0.00035889650589802084,0.00011415525114155251,0.00022831050228310502
CZ,AT,640.0,51.15252610321774,0.07992582203627771,0.03721461187214612,0.04429223744292238
DE,AT,4000.0,591.9691192566988,0.1479922798141747,0.03675799086757991,0.0523972602739726
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,0.7638734784343605,0.004063156800182768,0.003995433789954338,0.003995433789954338
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,785.5215136270174,0.9819018920337718,0.9775114155251141,0.978310502283105
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,90.21547773473307,0.03417252944497465,0.015182648401826484,0.017351598173515982
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,959.8713418727577,0.8570279838149623,0.8195205479452055,0.8279680365296803
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,502.15528925223845,0.6276941115652981,0.590296803652968,0.5982876712328767
AT,CH,960.0,900.5104187039374,0.9380316861499348,0.9308219178082192,0.9323059360730593
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,2004.6433118661212,0.9280756073454265,0.9113013698630137,0.9151826484018265
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,5.985055167628406,0.0023750218919160342,0.00022831050228310502,0.00034246575342465754
IT,CH,1528.0,14.15650192046479,0.009264726387738736,0.006050228310502283,0.006392694063926941
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,253.50874510068243,0.35209547930650337,0.2745433789954338,0.2886986301369863
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,629.4571573197837,0.5245476310998197,0.32123287671232875,0.3617579908675799
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,440.59921869821204,0.6884362792159563,0.6840182648401827,0.6844748858447488
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,341.47036352891587,0.08536759088222896,0.026027397260273973,0.03321917808219178
BE,DE,800.0,0.2719464572999896,0.00033993307162498703,0.00022831050228310502,0.00034246575342465754
CH,DE,3680.0,4.888546111828864,0.0013284092695187131,0.00011415525114155251,0.00022831050228310502
CZ,DE,1680.0,90.8986748007226,0.05410635404804917,0.02134703196347032,0.024315068493150686
DK,DE,2212.0,2.803504698807801,0.0012674071875261308,0.00034246575342465754,0.00034246575342465754
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1440.0,0.42961365871665563,0.00029834281855323306,0.00011415525114155251,0.00011415525114155251
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,3400.0,0.0,0.0,0.0,0.0
NO,DE,1120.0,40.03825110809548,0.03574843848937096,0.03299086757990868,0.03344748858447488
PL,DE,2000.0,1378.9845322847257,0.6894922661423628,0.6818493150684931,0.6835616438356165
SE,DE,492.0,1.2774225433761432,0.002596387283284844,0.0021689497716894978,0.00228310502283105
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2000.0,1048.878294246881,0.5244391471234405,0.2641552511415525,0.31289954337899545
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,560.0,7.436466934475189,0.013279405240134266,0.008447488584474886,0.009018264840182649
NO,DK,1312.0,138.540082372669,0.10559457497916844,0.07671232876712329,0.08105022831050228
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1584.0,4.319703781021689,0.002727085720341975,0.0017123287671232876,0.0017123287671232876
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2240.0,0.8563482220319626,0.00038229831340712614,0.00034246575342465754,0.00034246575342465754
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1440.0,880.4978811192158,0.6114568618883442,0.5265981735159817,0.5401826484018265
CH,FR,1040.0,982.3585666070105,0.9445755448144332,0.9358447488584475,0.9376712328767123
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,1840.0,1776.2843746622095,0.9653719427512009,0.9602739726027397,0.9615296803652968
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2080.0,2010.2422350475658,0.9664626130036374,0.96175799086758,0.9628995433789954
IT,FR,1848.0,1711.2520941780535,0.9260022154643147,0.9146118721461187,0.9170091324200913
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,1600.0,1330.9925252921064,0.8318703283075665,0.8251141552511415,0.8264840182648402
AT,IT,324.0,308.2597458912679,0.9514189688002096,0.9503424657534246,0.9504566210045662
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,3392.0,2768.0258471023753,0.8160453558674455,0.7114155251141553,0.7608447488584474
CZ,IT,0.0,0.0,0.0,0.0,0.0
DE,IT,0.0,0.0,0.0,0.0,0.0
DK,IT,0.0,0.0,0.0,0.0,0.0
ES,IT,0.0,0.0,0.0,0.0,0.0
FR,IT,3520.0,87.48877288019379,0.02485476502278233,0.014269406392694063,0.016095890410958904
NL,IT,0.0,0.0,0.0,0.0,0.0
NO,IT,0.0,0.0,0.0,0.0,0.0
PL,IT,0.0,0.0,0.0,0.0,0.0
SE,IT,0.0,0.0,0.0,0.0,0.0
UK,IT,0.0,0.0,0.0,0.0,0.0
AT,NL,0.0,0.0,0.0,0.0,0.0
BE,NL,1920.0,134.06911536753964,0.06982766425392689,0.05319634703196347,0.05662100456621005
CH,NL,0.0,0.0,0.0,0.0,0.0
CZ,NL,0.0,0.0,0.0,0.0,0.0
DE,NL,3400.0,3299.388649879732,0.9704084264352153,0.8740867579908675,0.913013698630137
DK,NL,560.0,462.5888845590408,0.8260515795697158,0.7610730593607306,0.7740867579908676
ES,NL,0.0,0.0,0.0,0.0,0.0
FR,NL,0.0,0.0,0.0,0.0,0.0
IT,NL,0.0,0.0,0.0,0.0,0.0
