from,to,constrained_maximum_mean
AT,CH,0.960730593607306
AT,CZ,0.21575342465753425
AT,DE,0.02317351598173516
AT,IT,0.9745433789954338
BE,DE,0.9908675799086758
BE,FR,0.6907534246575342
BE,NL,0.8988584474885845
BE,UK,0.8038812785388127
CH,DE,0.9570776255707762
CH,FR,0.9514840182648402
CH,IT,0.6722602739726027
CZ,DE,0.18949771689497716
CZ,PL,0.9744292237442922
DE,DK,0.2860730593607306
DE,FR,0.9791095890410959
DE,NL,0.833675799086758
DE,NO,0.7894977168949772
DE,PL,0.9740867579908675
DE,SE,0.9910958904109589
DK,NL,0.6794520547945205
DK,NO,0.34292237442922374
DK,SE,0.9081050228310502
ES,FR,0.9786529680365297
FR,IT,0.9353881278538813
FR,UK,0.9726027397260274
NL,NO,0.6321917808219178
NL,UK,0.9996575342465753
NO,SE,0.6808219178082192
PL,SE,0.9949771689497717
