zone,hour,value
FR,1,38908.6623347
FR,2,28872.3816467
FR,3,29278.608334700002
FR,4,32421.3543347
FR,5,23094.785646700002
FR,6,32142.936334700003
FR,7,27161.809334700003
FR,8,17021.960646700005
FR,9,19067.6133347
FR,15,11006.144334700002
FR,16,22994.0793347
FR,17,33293.209334700005
FR,18,37565.1793347
FR,19,30277.321646700002
FR,20,37877.5873347
FR,21,21249.884646700004
FR,22,27510.693646699998
FR,23,37325.2303347
FR,24,34770.3393347
FR,25,23785.761646700004
FR,26,26442.544334699996
FR,27,29033.0683347
FR,28,19013.1546467
FR,29,29381.7803347
FR,30,32039.703334699996
FR,31,20011.907646700005
FR,32,35478.8053347
FR,33,22445.4256467
FR,34,18912.223646699997
FR,35,24937.031334700005
FR,36,19476.8083347
FR,37,14670.084646700001
FR,38,20754.443357199998
FR,39,27281.061334700003
FR,40,24585.1336467
FR,41,34231.9243347
FR,42,43149.126334700006
FR,43,34175.59364670001
FR,44,39884.637334700004
FR,45,27527.812646700004
FR,46,22805.738646700003
FR,47,38267.5823347
FR,48,35558.3373347
FR,49,24181.8136467
FR,50,31696.0753347
FR,51,22736.531334699997
FR,52,11243.657646700005
FR,53,25341.144334700002
FR,54,26438.817334699997
FR,55,18956.1036467
FR,56,28968.968334700003
FR,57,27686.8863347
FR,58,12686.904063571501
FR,59,23352.56726377596
FR,60,13761.035675775956
FR,61,13129.567763571504
FR,62,21610.573063775963
FR,63,23942.508763775957
FR,64,13613.105646700002
FR,65,32562.307334700003
FR,66,35631.1043347
FR,67,26443.79017577596
FR,68,30782.3763347
FR,69,27916.019334700002
FR,70,15839.521463571504
FR,71,30405.247334699998
FR,72,28693.849051571502
FR,73,13267.9378860715
FR,74,24168.880351571497
FR,75,11899.3516467
FR,76,4782.704646700004
FR,77,19124.345334700003
FR,78,20327.597334700004
FR,79,12827.771363571503
FR,80,8198.927646700002
FR,81,21098.502334699995
FR,82,8897.929646700002
FR,83,13362.9183347
FR,84,10655.447334700002
FR,86,8246.8143347
FR,87,13397.323334700006
FR,88,22817.255263775958
FR,89,31719.6873347
FR,90,28095.566646700005
FR,91,29774.4876467
FR,92,36527.06376377596
FR,93,33367.74186377596
FR,94,19883.11137577596
FR,95,35428.16676377597
FR,96,33527.1419515715
FR,97,22625.578763571502
FR,98,30216.117251571497
FR,99,21293.3293347
FR,100,11537.9406467
FR,101,29405.7237515715
FR,102,36011.29007018903
FR,103,35449.696646699995
FR,104,46107.9583347
BE,105,118.03062907596086
FR,105,23132.2756467
FR,106,26152.306651571507
FR,107,7622.282646699998
FR,108,12101.570334700002
FR,110,14540.080051571507
FR,111,21977.03296377596
FR,112,35686.453334699996
BE,113,1129.3046913277221
FR,113,46803.8563347
BE,114,1487.6636290759607
FR,114,42274.6266467
FR,115,51468.2273347
FR,116,35119.43166920001
FR,117,34421.11264670001
FR,118,38222.49033470001
FR,119,44236.3933347
FR,120,32028.216275775958
FR,121,38469.58836377596
FR,122,37088.37436377596
FR,123,26004.6778635715
FR,124,33039.842863775964
FR,125,31394.9747515715
FR,126,33996.147646699996
FR,127,49641.195334699994
BE,128,1249.3262290759621
FR,128,50828.7463347
BE,129,663.9009290759595
FR,129,33917.9056467
FR,130,34794.77426377596
FR,131,29539.0793515715
FR,132,10740.447646699999
FR,133,23431.364334700003
FR,134,16840.3706467
FR,135,24368.009763571503
FR,136,42207.309334699996
FR,137,49310.1283347
BE,138,1117.231229075961
FR,138,43998.759646700004
FR,139,46995.85033470001
FR,140,47110.882563775966
FR,141,32842.99797577596
FR,142,42956.936651571494
FR,143,43016.67506377597
FR,144,31285.24767577596
FR,145,38611.3937515715
FR,146,30991.73526377596
FR,147,25490.249563571502
FR,148,33866.7830515715
FR,149,36053.49066377596
FR,150,30378.999669200006
FR,151,49787.661334699995
FR,152,43314.33264670001
FR,153,32742.093646700007
FR,154,39049.590251571506
FR,155,29959.377334699995
FR,156,16166.589646700006
FR,157,23090.381334699996
FR,158,25273.315334700004
FR,159,21396.740275775963
FR,160,33125.40706377596
FR,161,45925.8663347
FR,162,40322.987875775965
FR,163,48158.32246377596
FR,164,44037.8399515715
FR,165,29786.877646700006
FR,166,38825.7889515715
FR,167,33273.9093347
FR,168,26635.6296467
FR,169,33162.2183347
FR,170,22987.683646700003
FR,171,19884.907646700005
FR,172,27940.1263347
FR,173,25114.012334700004
FR,174,22036.3796467
FR,175,43679.7622515715
FR,176,45235.9312515715
FR,177,29738.310575775962
FR,178,32073.145334700006
BE,179,476.01212907596255
FR,179,26813.752334699995
FR,180,15625.4706467
FR,181,18921.5563347
FR,182,26635.845263775966
FR,183,22509.1906467
FR,184,33545.9813572
FR,185,42829.88833470001
FR,186,37761.80964670001
FR,187,46137.68826377596
FR,188,36040.921563775955
FR,189,28901.0474635715
FR,190,37572.4442515715
FR,191,28465.1897635715
FR,192,23254.9216467
FR,193,29678.7103347
FR,194,28351.040334700003
FR,195,11194.712646699998
FR,196,24538.7613347
FR,197,26794.680334700002
FR,198,23259.7356467
FR,199,38613.472334699996
FR,200,39971.7013347
FR,201,26847.926875389883
FR,202,23969.281334700005
FR,203,24421.005334700007
FR,204,12340.235646699999
FR,205,20113.720334700003
FR,206,22023.3213347
FR,207,15444.586646700001
FR,208,29461.6533347
FR,209,30761.4858515715
FR,210,29152.2056467
FR,211,37294.2943347
FR,212,33500.6243347
FR,213,20908.416646700003
FR,214,29686.3063347
FR,215,21278.547646700004
FR,216,12382.738646700003
FR,217,23370.7103347
FR,218,21323.1953347
FR,219,17966.6263347
FR,220,7131.409646699998
FR,221,11352.198334699999
FR,222,18569.500334700002
FR,223,20897.5203347
FR,224,14019.155646700005
FR,225,12666.526646700004
FR,226,18297.0353347
FR,227,6121.134646700004
FR,228,10647.834357200001
FR,229,12816.9393347
FR,230,7066.674334700001
FR,231,5149.166646700003
FR,232,18817.760334699997
FR,233,24581.815334700004
FR,234,25425.376357200003
FR,235,21023.327646700003
FR,236,27596.5903347
FR,237,25159.843334700003
FR,238,17400.960646700005
FR,239,22893.3543347
FR,240,25780.078334700003
FR,241,14437.352646700005
FR,242,21589.317334699997
FR,243,17991.646334700003
FR,244,2002.0626467000038
FR,245,16299.837334700002
FR,246,8641.111646700003
FR,247,19097.7443347
FR,248,20327.6663347
FR,249,2907.2436467000007
FR,250,7211.6683347
FR,256,14753.263334700001
FR,257,25265.5393347
FR,258,31112.133334700004
FR,259,32706.057334700003
FR,260,22035.465646700002
FR,261,28983.152334700004
FR,262,29609.023334700003
FR,263,21998.6226467
FR,264,23366.218334700003
FR,265,17641.6126467
FR,266,16634.712646699998
FR,267,22991.7843347
FR,268,22402.7103347
FR,269,16680.738646700003
FR,270,32256.381334700003
FR,271,33821.3813347
FR,272,30969.7246467
FR,273,29846.0433347
FR,274,19320.0623347
FR,276,7689.316951571502
FR,277,6216.147334699999
FR,278,8750.368334700004
FR,279,5983.574646700006
FR,280,26684.1940515715
FR,281,36479.6763347
FR,282,41696.7793347
FR,283,33651.656763571504
FR,284,33893.7563572
FR,285,33346.3803347
FR,286,24496.4326467
FR,287,28808.237334700003
FR,288,31222.260334699997
FR,289,19545.176646700005
FR,290,27204.1023347
FR,291,24380.089334700002
FR,292,14713.995646700001
FR,293,26190.247334699998
FR,294,27011.862334700003
FR,295,30225.835646700005
FR,296,41228.776051571505
FR,297,15991.709375775956
FR,298,20784.068051571492
FR,299,15242.049451571505
FR,300,15786.834751571498
FR,301,6151.129775775955
FR,302,17461.597663775967
FR,303,22974.8789515715
FR,304,31144.994551571504
FR,305,36178.5293347
FR,306,33796.810646699996
FR,307,41774.331557241334
FR,308,36944.2426515715
FR,309,23194.1526467
FR,310,26803.836334699998
FR,311,32987.0043347
FR,312,21888.0654635715
FR,313,27677.4793347
FR,314,26485.9623347
FR,315,14946.693646699998
FR,316,22982.597334699996
FR,317,20167.500334700002
FR,318,22328.799646700005
FR,319,38018.6203347
FR,320,33309.7522635715
FR,321,28893.424063571503
FR,322,24241.7233347
FR,323,19372.5552740715
FR,324,7465.85454568356
FR,325,6219.094646699996
FR,326,18180.3063347
FR,327,23046.2463347
FR,328,30465.1553347
FR,329,29923.6416467
FR,330,43234.62825157151
FR,331,43614.8553347
FR,332,29856.5448635715
FR,333,27533.654334699997
FR,334,32515.650334699996
FR,335,24393.308646700003
FR,336,30542.2423347
FR,337,28268.1073347
FR,338,18062.088646700002
FR,339,24224.0603347
FR,340,17880.849334700004
FR,341,16597.844646700003
FR,342,31511.487334700003
FR,343,37931.5183347
FR,344,30241.5316467
FR,345,34372.137334700004
FR,346,28099.764334699998
FR,347,10509.261763571505
FR,348,21031.6343347
FR,349,20579.533351571507
FR,350,13347.087663571498
FR,351,25316.6063347
FR,352,32289.3759515715
FR,353,30285.2671635715
FR,354,37913.8223515715
FR,355,42512.56625157151
FR,356,28508.9876467
FR,357,33375.0373347
FR,358,33389.205334700004
FR,359,25252.045646700004
FR,360,27913.259357200004
FR,361,23925.339334700002
FR,362,19003.3076467
FR,363,25049.398334700003
FR,364,24072.6473347
FR,365,17407.704646700004
FR,366,32203.6363347
FR,367,40798.2173347
FR,368,26897.824275775965
FR,369,39558.7521515715
FR,370,35490.415563775954
FR,371,22812.5506467
FR,372,28436.773334700003
FR,373,26668.2593347
FR,374,18889.1146467
FR,375,24580.716334700002
FR,376,27218.5126467
FR,377,31376.759646700004
FR,378,44277.05833470001
FR,379,43907.709334700005
FR,380,31232.1786467
FR,381,36578.1403347
FR,382,31503.9183347
FR,383,29390.5676467
FR,384,35423.1891515715
FR,385,32585.141551571498
FR,386,21907.5196635715
FR,387,28083.1668515715
FR,388,26023.87356377596
FR,389,13873.886263571498
FR,390,30621.9386515715
FR,391,33931.358451571505
FR,392,26776.9097635715
FR,393,33266.43360850906
FR,394,20034.076334700003
FR,395,14606.984357199995
FR,396,4987.676646700005
FR,397,10119.503334699999
FR,398,9881.078334699996
FR,399,14502.842334699999
FR,400,24218.9543347
FR,401,33142.89498773147
