zone,hour,value
FR,1,41370.6623347
FR,2,31334.3816467
FR,3,31740.608334700002
FR,4,34883.3543347
FR,5,25556.785646700002
FR,6,34604.9363347
FR,7,29623.809334700003
FR,8,24787.960646700005
FR,9,21529.6133347
FR,12,1893.7123347000015
FR,13,1367.266328432961
FR,14,5637.409334700002
FR,15,885.0693930311186
FR,16,25456.0793347
FR,17,35755.209334700005
FR,18,31088.7226467
FR,19,36373.7783347
FR,20,40339.5873347
FR,21,29015.884646700004
FR,22,38911.150334699996
FR,23,39787.2303347
FR,24,22989.882646700004
FR,25,35186.2183347
FR,26,34208.5443347
FR,27,22556.611646700003
FR,28,30413.6113347
FR,29,26539.7803347
FR,30,25563.246646699998
FR,31,36716.3643347
FR,32,37940.8053347
FR,33,24907.4256467
FR,34,25008.680334699995
FR,35,27399.031334700005
FR,36,18304.3516467
FR,37,26070.5413347
FR,38,26865.586334699998
FR,39,20804.604646700005
FR,40,30681.5903347
FR,41,41997.9243347
FR,42,37382.35790783834
FR,43,46789.37705157151
FR,44,43359.99125411951
FR,45,30682.315566119505
FR,46,35499.804754119505
FR,47,33276.086966119496
FR,48,30114.0481661195
FR,49,36191.257854119496
FR,50,34326.2498541195
FR,51,21564.0746467
FR,52,22644.114334700003
FR,53,27803.144334700002
FR,54,20295.484576612347
FR,55,31118.7939515715
FR,56,32784.9848515715
FR,57,22734.2666635715
FR,58,24351.8613347
FR,59,26763.8083347
FR,60,17354.901646699996
FR,61,24859.107254119503
FR,62,24835.2483347
BE,63,1302.6465310076023
FR,63,12042.216646699999
BE,64,533.8150168715006
FR,64,24653.5623347
BE,65,1955.0588168714994
FR,65,34664.3073347
BE,66,349.5889168715007
FR,66,28794.647646700003
FR,67,37831.1943347
FR,68,35044.3763347
FR,69,31719.3538515715
FR,70,18630.604266119502
FR,71,34371.790851571495
FR,72,31484.931854119503
FR,73,28637.5375515715
FR,74,18021.5064661195
FR,75,23768.7069515715
FR,76,16565.3155515715
FR,77,12847.461963571504
FR,78,23161.036451571505
FR,79,24548.228051571503
FR,80,17019.596963571505
FR,81,24345.538512195268
FR,82,14994.3863347
FR,83,15824.9183347
FR,86,10708.8143347
FR,87,15859.323334700006
FR,88,26310.2023347
BE,89,1414.8516168715005
FR,89,33821.6873347
BE,90,1820.8617168715018
FR,90,30197.566646700005
BE,91,1677.7525168714992
FR,91,40814.9443347
BE,92,284.7824874852706
FR,92,33741.6733347
BE,93,723.6872168715008
FR,93,27423.0526467
BE,94,830.7844168714992
FR,94,37012.2383347
BE,95,871.386116871502
FR,95,38274.2353347
FR,96,36075.0233347
FR,97,25407.578763571502
FR,98,27694.117251571497
FR,99,29961.4598541195
FR,100,29135.101651571502
FR,101,23258.349866119497
BE,102,662.2418168714999
FR,102,39108.4943347
BE,103,1888.5066168715011
FR,103,46490.15333469999
BE,104,2376.1761168714993
FR,104,33967.5016467
BE,105,425.48531687150034
FR,105,30538.2756467
FR,106,28943.389454119508
FR,107,19133.839551571495
FR,108,14563.570334700002
FR,109,13354.260051571504
FR,110,8383.623363571509
BE,111,1177.0373168715005
FR,111,24517.4503347
BE,112,2268.4455168715003
FR,112,32484.453334699996
BE,113,3076.620316871501
FR,113,48905.8563347
BE,114,3103.1183168715006
FR,114,44376.6266467
