from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,467.34596202092035,0.4868187104384587,0.4452054794520548,0.44931506849315067
CZ,AT,640.0,84.27714047279095,0.13168303198873585,0.09235159817351599,0.09874429223744292
DE,AT,4000.0,176.7619464109219,0.04419048660273047,0.008105022831050229,0.010616438356164383
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,1.1817607874032354,0.006285961635123593,0.005936073059360731,0.005936073059360731
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,465.115068403095,0.5813938355038687,0.5291095890410958,0.539269406392694
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,2008.5682830041635,0.7608213193197589,0.6720319634703197,0.6908675799086758
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,3.1790283222479387,0.002838418144864231,0.0,0.0
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,1.2090396854721264,0.001511299606840158,0.0007990867579908676,0.0007990867579908676
AT,CH,960.0,175.22456333489453,0.1825255868071818,0.16221461187214611,0.1658675799086758
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,423.82138335024206,0.19621360340288985,0.15570776255707763,0.161986301369863
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,1809.0614382921194,0.7178815231317934,0.688013698630137,0.6939497716894977
IT,CH,1528.0,12.759158935712502,0.008350234905571009,0.005251141552511416,0.005365296803652968
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,135.73700226678773,0.1885236142594274,0.14337899543378996,0.14965753424657535
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,145.16740242371765,0.12097283535309804,0.08972602739726028,0.09509132420091324
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,12.286014408899174,0.019196897513904958,0.013812785388127854,0.015068493150684932
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,862.7513496678166,0.21568783741695416,0.12853881278538812,0.1421232876712329
BE,DE,800.0,172.80998137905996,0.21601247672382495,0.1773972602739726,0.18515981735159817
CH,DE,3680.0,2390.659825224639,0.6496358220719127,0.622716894977169,0.6278538812785388
CZ,DE,1680.0,598.911867971755,0.356495159506997,0.1302511415525114,0.161986301369863
DK,DE,2212.0,1388.7022495113415,0.6278039102673334,0.4575342465753425,0.5044520547945206
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1440.0,1028.506592581005,0.7142406892923645,0.7075342465753425,0.708675799086758
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,3400.0,0.0,0.0,0.0,0.0
NO,DE,1120.0,823.3741092278615,0.7351554546677335,0.7329908675799087,0.7333333333333333
PL,DE,2000.0,64.86794049416596,0.032433970247082985,0.028082191780821917,0.02910958904109589
SE,DE,492.0,362.9521309616631,0.7377075832554129,0.736986301369863,0.7371004566210045
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2000.0,345.11388585058654,0.17255694292529328,0.1202054794520548,0.13013698630136986
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,560.0,2.042314690273972,0.0036469905183463785,0.0028538812785388126,0.0028538812785388126
NO,DK,1312.0,952.8372759940668,0.7262479237759655,0.6924657534246575,0.702054794520548
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1584.0,1131.9297416012207,0.7146021095967302,0.6671232876712329,0.6785388127853881
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2240.0,1536.0121586217797,0.6857197136704374,0.6738584474885845,0.6760273972602739
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1440.0,16.22463720327313,0.011267109168939674,0.00684931506849315,0.007534246575342466
CH,FR,1040.0,88.18951513710293,0.08479761070875282,0.07089041095890411,0.07248858447488585
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,1840.0,321.1778426456479,0.1745531753508956,0.16312785388127854,0.16552511415525115
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2080.0,407.9638191474397,0.19613645151319217,0.1817351598173516,0.18493150684931506
IT,FR,1848.0,55.06511524424327,0.029797140283681425,0.022945205479452054,0.024315068493150686
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,1600.0,0.0,0.0,0.0,0.0
AT,IT,324.0,306.71085171857794,0.9466384312301789,0.9450913242009132,0.9454337899543379
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,3392.0,3138.1629254590944,0.9251659567980821,0.9010273972602739,0.906392694063927
CZ,IT,0.0,0.0,0.0,0.0,0.0
DE,IT,0.0,0.0,0.0,0.0,0.0
DK,IT,0.0,0.0,0.0,0.0,0.0
ES,IT,0.0,0.0,0.0,0.0,0.0
FR,IT,3520.0,3204.9410601597924,0.9104946193635773,0.8924657534246575,0.8958904109589041
NL,IT,0.0,0.0,0.0,0.0,0.0
NO,IT,0.0,0.0,0.0,0.0,0.0
PL,IT,0.0,0.0,0.0,0.0,0.0
SE,IT,0.0,0.0,0.0,0.0,0.0
UK,IT,0.0,0.0,0.0,0.0,0.0
AT,NL,0.0,0.0,0.0,0.0,0.0
BE,NL,1920.0,1576.949538013172,0.8213278843818604,0.7021689497716895,0.7309360730593607
CH,NL,0.0,0.0,0.0,0.0,0.0
CZ,NL,0.0,0.0,0.0,0.0,0.0
DE,NL,3400.0,3387.2765813728197,0.9962578180508294,0.9735159817351599,0.986986301369863
DK,NL,560.0,551.1760524670269,0.9842429508339766,0.9810502283105023,0.9813926940639269
ES,NL,0.0,0.0,0.0,0.0,0.0
FR,NL,0.0,0.0,0.0,0.0,0.0
IT,NL,0.0,0.0,0.0,0.0,0.0
NO,NL,560.0,527.0810729225572,0.9412162016474235,0.9297945205479452,0.9318493150684931
PL,NL,0.0,0.0,0.0,0.0,0.0
SE,NL,0.0,0.0,0.0,0.0,0.0
UK,NL,800.0,2.306818538416343,0.0028835231730204285,0.0010273972602739725,0.0013698630136986301
AT,NO,0.0,0.0,0.0,0.0,0.0
BE,NO,0.0,0.0,0.0,0.0,0.0
CH,NO,0.0,0.0,0.0,0.0,0.0
CZ,NO,0.0,0.0,0.0,0.0,0.0
DE,NO,1120.0,273.6015571665411,0.24428710461298314,0.24235159817351598,0.24269406392694065
DK,NO,1312.0,236.62799871373792,0.1803567063366905,0.16472602739726028,0.1680365296803653
ES,NO,0.0,0.0,0.0,0.0,0.0
FR,NO,0.0,0.0,0.0,0.0,0.0
IT,NO,0.0,0.0,0.0,0.0,0.0
NL,NO,560.0,16.817896174313148,0.03003195745413062,0.024657534246575342,0.02545662100456621
PL,NO,0.0,0.0,0.0,0.0,0.0
SE,NO,3196.0,468.4672077734523,0.1465792264622817,0.13378995433789953,0.13538812785388127
UK,NO,0.0,0.0,0.0,0.0,0.0
AT,PL,0.0,0.0,0.0,0.0,0.0
BE,PL,0.0,0.0,0.0,0.0,0.0
CH,PL,0.0,0.0,0.0,0.0,0.0
CZ,PL,480.0,457.84846410769796,0.9538509668910374,0.9484018264840183,0.9498858447488584
DE,PL,400.0,375.0806886633103,0.9377017216582757,0.9351598173515981,0.9355022831050228
DK,PL,0.0,0.0,0.0,0.0,0.0
ES,PL,0.0,0.0,0.0,0.0,0.0
FR,PL,0.0,0.0,0.0,0.0,0.0
IT,PL,0.0,0.0,0.0,0.0,0.0
NL,PL,0.0,0.0,0.0,0.0,0.0
NO,PL,0.0,0.0,0.0,0.0,0.0
SE,PL,480.0,479.1586343717606,0.998247154941168,0.997716894977169,0.9978310502283105
UK,PL,0.0,0.0,0.0,0.0,0.0
AT,SE,0.0,0.0,0.0,0.0,0.0
BE,SE,0.0,0.0,0.0,0.0,0.0
