from,to,constrained_maximum_mean
AT,CH,0.6074200913242009
AT,CZ,0.23573059360730594
AT,DE,0.13664383561643836
AT,IT,0.951027397260274
BE,DE,0.7065068493150685
BE,FR,0.6788812785388127
BE,NL,0.7021689497716895
BE,UK,0.9877853881278539
CH,DE,0.7784246575342466
CH,FR,0.7589041095890411
CH,IT,0.9062785388127854
CZ,DE,0.21997716894977168
CZ,PL,0.9622146118721461
DE,DK,0.5777397260273973
DE,FR,0.870662100456621
DE,NL,0.9735159817351599
DE,NO,0.9753424657534246
DE,PL,0.9632420091324201
DE,SE,0.957648401826484
DK,NL,0.9839041095890411
DK,NO,0.8571917808219178
DK,SE,0.7702054794520548
ES,FR,0.855593607305936
FR,IT,0.9154109589041096
FR,UK,0.9997716894977169
NL,NO,0.9544520547945206
NL,UK,0.9825342465753425
NO,SE,0.1339041095890411
PL,SE,0.9987442922374429
