zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,469.4066432490896,9006.0,-1526.2213950303621,0.05406664861196609,0.16946717688544993
BE,8040.0,3733.533703723969,7440.0,-3984.5373025921976,0.46436986364725985,0.535556089058091
CH,10752.0,3483.923321432164,13608.0,-7279.144619974537,0.3240256065320093,0.5349165652538608
CZ,3840.0,265.93131960370886,4200.0,-1387.112170922672,0.06925294781346585,0.3302648026006362
DE,31236.0,9173.751286728013,26118.0,-8606.822199459792,0.29369161501882485,0.3295360364292745
DK,8184.0,3270.807660875367,9054.0,-3924.172530258861,0.39965880509229806,0.4334186580802807
ES,3360.0,2389.6975045908484,3120.0,-588.6739234009136,0.711219495413943,0.18867753955157487
FR,14772.0,1366.372581399346,20940.0,-16945.485825109306,0.09249746692386583,0.8092400107502057
IT,10854.0,10148.04173038836,5346.0,-79.45292709109565,0.9349587000542068,0.014862126279666226
NL,10860.0,8732.673946227944,9660.0,-1301.770526126096,0.8041136230412471,0.13475885363624182
NO,9282.0,2099.036708163812,8922.0,-3438.6105344384873,0.22614056325832924,0.38540804017467917
PL,2040.0,2028.5071204599953,4680.0,-13.102635285929399,0.9943662355196056,0.0027997083944293587
SE,8820.0,884.2937815704647,8628.0,-3766.1919726375736,0.10026006593769442,0.436508109948722
UK,4800.0,4795.715394422971,4800.0,-0.39414050823550295,0.999107373838119,8.211260588239645e-5
