zone,hour,value
PL,32,931.4623869059997
PL,33,1737.7187563059997
PL,35,1343.2903869059974
PL,36,2277.5667563060015
PL,37,1573.5427563060002
PL,38,3425.2523869060005
PL,39,2171.3103869060014
PL,40,3158.8903869059995
PL,41,4808.710386905999
FR,42,2213.288654200005
PL,42,4469.490386906002
FR,43,2178.212654200004
PL,43,2991.7167563059993
PL,44,3646.0903869060003
PL,45,3286.511999999999
PL,55,458.23199999999997
PL,61,1266.2083869060025
PL,62,2496.0847563060015
PL,63,1635.5667563060015
PL,64,4202.44198097773
PL,65,2615.696756305999
PL,66,2537.3667563060008
PL,67,2225.3667563060008
PL,68,3308.0967563060003
PL,70,684.3103869060014
PL,71,279.91200000000026
PL,87,1255.3507563059975
PL,88,1093.666756306
PL,89,2647.2403869060017
PL,90,1350.355630600001
PL,91,975.0603869060014
PL,92,714.2167563059993
PL,93,1280.290386906001
PL,102,841.7556305999988
FR,103,1292.3156541999924
PL,103,1788.7103869059993
FR,104,3012.1206542
PL,104,292.1343869059983
PL,105,1207.0463869059986
PL,109,916.6523869059984
PL,110,3441.2436306
PL,111,4702.552756306002
PL,112,3977.910386906
FR,113,4295.725741806321
PL,113,5759.190386905999
FR,114,8731.450741806324
PL,114,5574.460386905999
FR,115,8655.563938523463
PL,115,3975.0756305999985
FR,116,4611.193654200004
PL,116,4446.340386906
FR,117,263.7316542000044
PL,117,2474.664423926003
FR,118,430.6526542000065
PL,118,630.2256305999999
FR,119,1140.5556541999977
PL,119,1035.3467563060003
FR,127,6547.902141806318
FR,128,8108.776341806325
PL,135,1257.6039999999994
PL,136,975.9403869059988
FR,137,6214.2906542
PL,137,1852.4056306000002
FR,138,10085.151341806326
PL,138,3257.160386906
FR,139,9204.01265420001
PL,139,3267.6103869060007
FR,140,4636.023654200006
PL,140,1634.5256305999992
FR,141,67.80965419999848
PL,141,2408.446756305999
PL,142,1572.7756305999992
FR,143,620.0836542000034
PL,143,201.51675630599857
PL,150,3606.8756306000014
FR,151,6691.823654199998
PL,151,5070.316386905999
FR,152,9156.95165420001
PL,152,5775.041999999998
FR,153,3888.712654200004
PL,153,4153.016386906
PL,154,3264.1503869060016
PL,155,3579.712756306002
PL,156,2516.5496306000005
PL,157,5049.748386906
PL,158,6438.6356306
PL,159,7241.381630599999
PL,160,8159.810386906001
FR,161,2830.028654199996
PL,161,9018.0190688588
FR,162,6597.341654200009
PL,162,8156.805630600002
FR,163,6233.163654200007
PL,163,7597.440386905999
FR,164,1811.3136541999993
PL,164,7279.875630600001
PL,165,3494.190386905999
PL,166,3580.4903869060017
PL,167,2545.3056306000017
PL,169,456.74038690600173
PL,170,452.35563060000095
PL,171,524.4056306000002
PL,172,805.5056305999988
PL,173,1179.4603869059993
PL,174,4274.4756306
FR,175,1489.6016541999998
PL,175,5507.490386906002
FR,176,2478.3846541999956
PL,176,6164.079630599999
PL,177,5609.4236306
PL,178,4526.812386905998
PL,179,4875.793630599999
PL,180,4621.746386906003
PL,181,6017.84
PL,182,6175.589630600001
PL,183,6536.638386905999
PL,184,6500.775630599999
FR,185,5.610441806327117
PL,185,8319.625630600001
FR,186,3604.4286542000045
PL,186,7570.160386906
FR,187,3269.9476542000048
PL,187,7808.625630600001
PL,188,6901.675630600001
PL,189,4877.810386906001
PL,190,3551.6556306
PL,191,2206.9756306
PL,192,1378.5256305999992
PL,193,1237.6320000000014
PL,194,894.6820000000007
PL,195,38.290386906001004
PL,196,636.2756305999992
PL,197,1384.3056306000017
PL,198,2049.0903869060003
PL,199,5756.8256305999985
PL,200,6130.411630599998
PL,201,5977.027999999998
