from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,46.10635896196108,0.038421965801634234,0.027625570776255708,0.030821917808219176
CZ,AT,800.0,124.01220981156348,0.15501526226445436,0.0867579908675799,0.0976027397260274
DE,AT,5000.0,380.1964163254894,0.07603928326509787,0.002511415525114155,0.0046803652968036525
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,6.929215495493771,0.029486023385079874,0.026484018264840183,0.02728310502283105
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,845.8463847708265,0.8458463847708265,0.7912100456621004,0.8013698630136986
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,457.9951264702241,0.13878640196067396,0.06963470319634703,0.07922374429223744
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,537.9319989175493,0.3842371420839638,0.31358447488584473,0.3281963470319635
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,54.65984678976747,0.05465984678976747,0.04554794520547945,0.046917808219178084
AT,CH,1200.0,345.5317193132534,0.2879430994277112,0.2617579908675799,0.26666666666666666
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,1028.2056640623907,0.3808169126157003,0.32602739726027397,0.33835616438356164
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,191.18095962774652,0.06069236813579255,0.03573059360730593,0.03904109589041096
IT,CH,1910.0,17.56878922570278,0.009198318966336534,0.005479452054794521,0.005593607305936073
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,347.34336623337987,0.3859370735926443,0.3270547945205479,0.3389269406392694
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,462.7097790994908,0.3084731860663272,0.11689497716894977,0.14531963470319634
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,800.0,3.052253640840837,0.0038153170510510466,0.00045662100456621003,0.0006849315068493151
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,5000.0,609.8648115275569,0.12197296230551137,0.0341324200913242,0.05136986301369863
BE,DE,1000.0,13.759211391403522,0.013759211391403521,0.010502283105022832,0.010844748858447488
CH,DE,4600.0,923.1714409463721,0.2006894436839939,0.17031963470319636,0.17568493150684933
CZ,DE,2100.0,146.6466095139529,0.06983171881616805,0.0228310502283105,0.027968036529680364
DK,DE,2765.0,804.8175096566548,0.29107324038215365,0.1341324200913242,0.16210045662100456
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1800.0,66.66976923346517,0.03703876068525843,0.031621004566210045,0.032534246575342464
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,4250.0,382.9256187529319,0.09010014558892515,0.02363013698630137,0.03344748858447488
NO,DE,1400.0,630.9300804978725,0.45066434321276605,0.4400684931506849,0.4425799086757991
PL,DE,2500.0,53.71718123952066,0.021486872495808267,0.0029680365296803654,0.0043378995433789955
SE,DE,615.0,178.34113095022173,0.28998557878084835,0.278310502283105,0.28093607305936075
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2500.0,764.6489989348765,0.3058595995739506,0.22922374429223744,0.2478310502283105
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,700.0,15.517542566212308,0.02216791795173187,0.01141552511415525,0.012785388127853882
NO,DK,1640.0,511.3632354336811,0.3118068508741958,0.2617579908675799,0.2691780821917808
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1980.0,177.78212391873902,0.08978895147411062,0.0319634703196347,0.04246575342465753
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2800.0,770.7803391290106,0.27527869254607523,0.2425799086757991,0.24840182648401826
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1800.0,745.4117249571135,0.41411762497617416,0.2973744292237443,0.3192922374429224
CH,FR,1300.0,825.1187010956288,0.6347066931504837,0.6031963470319635,0.607648401826484
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,2300.0,1973.661936336822,0.8581138853638357,0.8313926940639269,0.8366438356164384
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2600.0,1589.9687004887933,0.6115264232649205,0.5780821917808219,0.5851598173515982
IT,FR,2310.0,1260.181571284258,0.545533147742103,0.5155251141552512,0.5214611872146119
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,2000.0,197.2964352896151,0.09864821764480755,0.08995433789954338,0.091324200913242
AT,IT,405.0,239.93041104983322,0.5924207680242796,0.5883561643835616,0.5892694063926941
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,4240.0,2066.304198385472,0.48733589584563014,0.4029680365296804,0.42054794520547945
CZ,IT,0.0,0.0,0.0,0.0,0.0
DE,IT,0.0,0.0,0.0,0.0,0.0
DK,IT,0.0,0.0,0.0,0.0,0.0
ES,IT,0.0,0.0,0.0,0.0,0.0
FR,IT,4400.0,930.4630968425024,0.21146888564602329,0.16050228310502282,0.1704337899543379
NL,IT,0.0,0.0,0.0,0.0,0.0
NO,IT,0.0,0.0,0.0,0.0,0.0
PL,IT,0.0,0.0,0.0,0.0,0.0
SE,IT,0.0,0.0,0.0,0.0,0.0
UK,IT,0.0,0.0,0.0,0.0,0.0
AT,NL,0.0,0.0,0.0,0.0,0.0
BE,NL,2400.0,548.1123438877391,0.22838014328655798,0.16872146118721462,0.1841324200913242
CH,NL,0.0,0.0,0.0,0.0,0.0
CZ,NL,0.0,0.0,0.0,0.0,0.0
DE,NL,4250.0,2552.506160586404,0.6005896848438598,0.4839041095890411,0.5196347031963471
DK,NL,700.0,487.0635923065795,0.6958051318665421,0.6328767123287671,0.6460045662100456
ES,NL,0.0,0.0,0.0,0.0,0.0
FR,NL,0.0,0.0,0.0,0.0,0.0
IT,NL,0.0,0.0,0.0,0.0,0.0
NO,NL,700.0,524.8008112854774,0.7497154446935391,0.7317351598173516,0.7343607305936073
PL,NL,0.0,0.0,0.0,0.0,0.0
SE,NL,0.0,0.0,0.0,0.0,0.0
UK,NL,1000.0,10.976566462730853,0.010976566462730852,0.008675799086757991,0.009246575342465754
AT,NO,0.0,0.0,0.0,0.0,0.0
BE,NO,0.0,0.0,0.0,0.0,0.0
CH,NO,0.0,0.0,0.0,0.0,0.0
CZ,NO,0.0,0.0,0.0,0.0,0.0
DE,NO,1400.0,518.0815402566312,0.3700582430404509,0.363013698630137,0.3644977168949772
DK,NO,1640.0,496.48347961716235,0.3027338290348551,0.26986301369863014,0.2759132420091324
ES,NO,0.0,0.0,0.0,0.0,0.0
FR,NO,0.0,0.0,0.0,0.0,0.0
IT,NO,0.0,0.0,0.0,0.0,0.0
NL,NO,700.0,133.44658348678075,0.1906379764096868,0.17146118721461187,0.17568493150684933
PL,NO,0.0,0.0,0.0,0.0,0.0
SE,NO,3995.0,617.3187431853663,0.1545228393455235,0.0773972602739726,0.10136986301369863
UK,NO,0.0,0.0,0.0,0.0,0.0
AT,PL,0.0,0.0,0.0,0.0,0.0
BE,PL,0.0,0.0,0.0,0.0,0.0
CH,PL,0.0,0.0,0.0,0.0,0.0
CZ,PL,600.0,484.8372644738751,0.8080621074564586,0.7528538812785388,0.7618721461187214
DE,PL,500.0,415.09862981883975,0.8301972596376795,0.8092465753424658,0.8133561643835616
DK,PL,0.0,0.0,0.0,0.0,0.0
ES,PL,0.0,0.0,0.0,0.0,0.0
FR,PL,0.0,0.0,0.0,0.0,0.0
IT,PL,0.0,0.0,0.0,0.0,0.0
NL,PL,0.0,0.0,0.0,0.0,0.0
NO,PL,0.0,0.0,0.0,0.0,0.0
SE,PL,600.0,406.1482420211746,0.6769137367019576,0.6428082191780822,0.6488584474885845
UK,PL,0.0,0.0,0.0,0.0,0.0
AT,SE,0.0,0.0,0.0,0.0,0.0
BE,SE,0.0,0.0,0.0,0.0,0.0
CH,SE,0.0,0.0,0.0,0.0,0.0
CZ,SE,0.0,0.0,0.0,0.0,0.0
DE,SE,615.0,237.92290558182646,0.3868665131411812,0.3817351598173516,0.38333333333333336
DK,SE,2440.0,937.9719254445316,0.38441472354284084,0.29155251141552513,0.31289954337899545
ES,SE,0.0,0.0,0.0,0.0,0.0
FR,SE,0.0,0.0,0.0,0.0,0.0
IT,SE,0.0,0.0,0.0,0.0,0.0
NL,SE,0.0,0.0,0.0,0.0,0.0
NO,SE,3695.0,1438.0056750198398,0.38917609608114745,0.3644977168949772,0.3681506849315068
PL,SE,600.0,121.23726827044595,0.2020621137840766,0.18184931506849314,0.1865296803652968
UK,SE,0.0,0.0,0.0,0.0,0.0
AT,UK,0.0,0.0,0.0,0.0,0.0
BE,UK,1000.0,858.1847907320625,0.8581847907320626,0.8375570776255707,0.8409817351598173
CH,UK,0.0,0.0,0.0,0.0,0.0
CZ,UK,0.0,0.0,0.0,0.0,0.0
DE,UK,0.0,0.0,0.0,0.0,0.0
DK,UK,0.0,0.0,0.0,0.0,0.0
ES,UK,0.0,0.0,0.0,0.0,0.0
FR,UK,2000.0,1647.9146122931272,0.8239573061465636,0.7789954337899543,0.7881278538812785
IT,UK,0.0,0.0,0.0,0.0,0.0
NL,UK,1000.0,962.3476292529292,0.9623476292529292,0.9485159817351598,0.9511415525114155
NO,UK,0.0,0.0,0.0,0.0,0.0
PL,UK,0.0,0.0,0.0,0.0,0.0
SE,UK,0.0,0.0,0.0,0.0,0.0
