zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,567.47407290949,7505.0,-1650.7122488245354,0.0784345643275038,0.21994833428708
BE,6700.0,1940.6484799320551,6200.0,-2158.678349421482,0.2896490268555306,0.34817392732604546
CH,8960.0,1941.4827333148012,11340.0,-4264.478159732039,0.2166833407717412,0.3760562751086454
CZ,3200.0,779.6577410405098,3500.0,-782.2124941522129,0.2436430440751593,0.22348928404348942
DE,26030.0,3621.2648308541497,21765.0,-9666.628860524368,0.13911889476965617,0.4441364052618593
DK,6820.0,1452.9857279983348,7545.0,-2726.4982304407486,0.21304776070356815,0.3613649079444332
ES,2800.0,831.3383730616965,2600.0,-1576.295580830993,0.29690656180774877,0.6062675310888435
FR,12310.0,6534.885591467996,17450.0,-4260.9103746988785,0.5308599180721362,0.2441782449684171
IT,9045.0,3873.648756832543,4455.0,-1221.0795386274729,0.42826409694113243,0.2740919278625079
NL,9050.0,4331.086273763339,8050.0,-1942.6703222724877,0.4785730689241258,0.24132550587235874
NO,7735.0,1801.2146564944799,7435.0,-3140.192597720409,0.2328655018092411,0.42235273674786944
PL,1700.0,1324.8048841204345,3900.0,-171.1564222455267,0.7792969906590791,0.043886262114237615
SE,7350.0,2753.16283231236,7190.0,-1424.1026461799024,0.37457997718535513,0.1980671274241867
UK,4000.0,3482.624770283786,4000.0,-250.66389871492,0.8706561925709465,0.06266597467873
