from,to,constrained_maximum_mean
AT,CH,0.26335616438356163
AT,CZ,0.3684931506849315
AT,DE,0.009246575342465754
AT,IT,0.5600456621004566
BE,DE,0.7511415525114156
BE,FR,0.31381278538812785
BE,NL,0.46015981735159817
BE,UK,0.877283105022831
CH,DE,0.43310502283105023
CH,FR,0.6343607305936073
CH,IT,0.24429223744292236
CZ,DE,0.09920091324200914
CZ,PL,0.7075342465753425
DE,DK,0.3389269406392694
DE,FR,0.8418949771689498
DE,NL,0.4081050228310502
DE,NO,0.7651826484018265
DE,PL,0.7840182648401827
DE,SE,0.657648401826484
DK,NL,0.5070776255707763
DK,NO,0.505593607305936
DK,SE,0.2831050228310502
ES,FR,0.8057077625570777
FR,IT,0.6417808219178082
FR,UK,0.8333333333333334
NL,NO,0.8886986301369864
NL,UK,0.9565068493150685
NO,SE,0.3367579908675799
PL,SE,0.7947488584474885
