zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,555.2343247987607,7505,-1539.675685764878,0.07674282305442442,0.20515332255361465
BE,6700,1894.572571355741,6200,-2165.0654358529014,0.28277202557548375,0.3492041025569196
CH,8960,1583.8869626228698,11340,-3861.8903831320267,0.17677309850701672,0.3405547075072334
CZ,3200,813.0566049233352,3500,-755.4157926522081,0.25408018903854224,0.2158330836149166
DE,26030,3813.888456806576,21765,-9181.60084900458,0.14651895723421343,0.4218516356078374
DK,6820,1468.9374127514034,7545,-2725.8051723363687,0.21538671741222923,0.3612730513368282
ES,2800,770.7803391290103,2600,-1590.3937272251253,0.27527869254607507,0.6116898950865867
FR,12310,6590.251125071434,17450,-4062.9806133908965,0.5353575243762335,0.23283556523730065
IT,9045,3235.699302200309,4455,-1284.1392923674734,0.3577334773024112,0.28824675474017364
NL,9050,4125.172980940267,8050,-2033.894842570265,0.4558202188884273,0.25265774441866645
NO,7735,1765.166423947677,7435,-3104.9358796386014,0.22820509682581475,0.4176107437308139
PL,1700,1306.1433072096622,3900,-178.06587404658026,0.7683195924762719,0.045657916422200066
SE,7350,2732.8206973622905,7190,-1377.261144873434,0.37181233977718237,0.19155231500325925
UK,4000,3468.72810072354,4000,-263.2139169875367,0.867182025180885,0.06580347924688418
