from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,46.042666627312194,0.03836888885609349,0.027853881278538814,0.03093607305936073
CZ,AT,800,123.77385242503954,0.15471731553129942,0.08732876712328767,0.09874429223744292
DE,AT,5000,378.49310440616466,0.07569862088123293,0.002511415525114155,0.0046803652968036525
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,6.9247013402426285,0.02946681421379842,0.026484018264840183,0.0271689497716895
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,845.5497374944542,0.8455497374944543,0.7915525114155251,0.8017123287671233
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,456.5260868445839,0.1383412384377527,0.06940639269406393,0.07899543378995434
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,537.8536706321869,0.3841811933087049,0.31358447488584473,0.32773972602739726
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,54.643076384516334,0.054643076384516334,0.0454337899543379,0.04680365296803653
AT,CH,1200,344.79987741075246,0.28733323117562704,0.2615296803652968,0.26643835616438355
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,1030.3072315616191,0.38159527094874784,0.3267123287671233,0.3386986301369863
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,191.05617931280892,0.06065275533739966,0.03573059360730593,0.039155251141552515
IT,CH,1910,17.72367433768909,0.00927941064800476,0.005479452054794521,0.005593607305936073
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,346.4015357822928,0.38489059531365866,0.32773972602739726,0.33949771689497715
BE,CZ,0,0.0,0.0,0.0,0.0
CH,CZ,0,0.0,0.0,0.0,0.0
DE,CZ,1500,463.6484538460459,0.3090989692306973,0.11837899543378995,0.14623287671232876
DK,CZ,0,0.0,0.0,0.0,0.0
ES,CZ,0,0.0,0.0,0.0,0.0
FR,CZ,0,0.0,0.0,0.0,0.0
IT,CZ,0,0.0,0.0,0.0,0.0
NL,CZ,0,0.0,0.0,0.0,0.0
NO,CZ,0,0.0,0.0,0.0,0.0
PL,CZ,800,3.006615294997009,0.0037582691187462614,0.00045662100456621003,0.0006849315068493151
SE,CZ,0,0.0,0.0,0.0,0.0
UK,CZ,0,0.0,0.0,0.0,0.0
AT,DE,5000,609.6064335061706,0.12192128670123412,0.032534246575342464,0.050570776255707765
BE,DE,1000,13.746870919805348,0.013746870919805348,0.010502283105022832,0.010844748858447488
CH,DE,4600,923.8717079939981,0.20084167565086916,0.17054794520547945,0.17602739726027397
CZ,DE,2100,146.6760811866205,0.06984575294600977,0.0228310502283105,0.027968036529680364
DK,DE,2765,806.2677976073421,0.2915977568200152,0.1334474885844749,0.16244292237442923
ES,DE,0,0.0,0.0,0.0,0.0
FR,DE,1800,66.68944298556293,0.037049690547534965,0.031735159817351595,0.03264840182648402
IT,DE,0,0.0,0.0,0.0,0.0
NL,DE,4250,384.1055298965955,0.09037777174037541,0.02442922374429224,0.0341324200913242
NO,DE,1400,631.5014841573008,0.45107248868378624,0.43938356164383563,0.4415525114155251
PL,DE,2500,54.10759660914616,0.021643038643658463,0.002511415525114155,0.003995433789954338
SE,DE,615,177.31551194403772,0.2883179056000613,0.2769406392694064,0.2796803652968037
UK,DE,0,0.0,0.0,0.0,0.0
AT,DK,0,0.0,0.0,0.0,0.0
BE,DK,0,0.0,0.0,0.0,0.0
CH,DK,0,0.0,0.0,0.0,0.0
CZ,DK,0,0.0,0.0,0.0,0.0
DE,DK,2500,764.1873298526363,0.3056749319410545,0.22876712328767124,0.2471461187214612
ES,DK,0,0.0,0.0,0.0,0.0
FR,DK,0,0.0,0.0,0.0,0.0
IT,DK,0,0.0,0.0,0.0,0.0
NL,DK,700,15.477538198929203,0.022110768855613146,0.011301369863013699,0.012557077625570776
NO,DK,1640,512.3510352741587,0.31240916785009676,0.2622146118721461,0.2697488584474886
PL,DK,0,0.0,0.0,0.0,0.0
SE,DK,1980,176.92150942567957,0.08935429768973716,0.0319634703196347,0.04246575342465753
UK,DK,0,0.0,0.0,0.0,0.0
AT,ES,0,0.0,0.0,0.0,0.0
BE,ES,0,0.0,0.0,0.0,0.0
CH,ES,0,0.0,0.0,0.0,0.0
CZ,ES,0,0.0,0.0,0.0,0.0
DE,ES,0,0.0,0.0,0.0,0.0
DK,ES,0,0.0,0.0,0.0,0.0
FR,ES,2800,770.7803391290104,0.2752786925460751,0.24269406392694065,0.2482876712328767
IT,ES,0,0.0,0.0,0.0,0.0
NL,ES,0,0.0,0.0,0.0,0.0
NO,ES,0,0.0,0.0,0.0,0.0
PL,ES,0,0.0,0.0,0.0,0.0
SE,ES,0,0.0,0.0,0.0,0.0
UK,ES,0,0.0,0.0,0.0,0.0
AT,FR,0,0.0,0.0,0.0,0.0
BE,FR,1800,745.6901391977963,0.41427229955433126,0.29840182648401825,0.32054794520547947
CH,FR,1300,824.3782378418185,0.6341371060321681,0.6028538812785388,0.6073059360730594
