zone,hour,value
PL,33,1385.7776305999996
PL,34,1299.769630599998
PL,36,1925.6256306000014
PL,37,1221.6016306000001
PL,38,3485.8176306000005
PL,39,2231.8756306000014
PL,40,4924.4556305999995
PL,41,4869.275630599999
FR,42,1268.6696467000056
PL,42,2825.0556306000017
FR,43,1233.5936467000047
PL,43,4344.775630599999
PL,44,2001.6556306000002
PL,45,829.0056305999988
PL,56,369.52200000000084
PL,61,1326.7736306000024
PL,62,2144.1436306000014
PL,63,1283.6256306000014
PL,64,4094.525630599999
PL,65,2263.7556305999988
PL,66,2185.4256306000007
PL,67,1873.4256306000007
PL,68,2956.1556306
PL,69,53.00563059999877
PL,88,2446.7256306
PL,89,1002.8056306000017
PL,90,1422.862000000001
PL,91,1035.6256306000014
PL,92,2067.275630599999
FR,103,347.6966466999929
PL,103,1849.2756305999992
FR,104,2067.5016467000005
PL,104,352.6996305999983
PL,105,1267.6116305999985
PL,106,254.52963060000002
PL,107,12.027999999998428
PL,109,977.2176305999983
PL,110,2038.1761019536877
PL,111,2645.611630600002
PL,112,5743.4756306
FR,113,3372.5199635715016
PL,113,4527.261999999999
FR,114,7808.244963571502
PL,114,3930.025630599999
FR,115,7533.517763571503
PL,115,5340.0756305999985
FR,116,3666.5746467000045
PL,116,2801.9056306
PL,117,3281.9256306000007
PL,118,290.22563059999993
FR,119,195.93664669999816
FR,127,5624.6963635714965
FR,128,7185.570563571504
PL,136,2741.5056305999988
FR,137,5274.505563571502
PL,137,1512.4056306000002
FR,138,9161.945563571504
PL,138,3317.7256306
FR,139,8259.39364670001
PL,139,1623.1756306000007
FR,140,3691.404646700006
PL,140,2999.525630599999
PL,141,351.50563059999877
PL,142,1232.7756305999992
PL,150,3679.3820000000014
FR,151,5747.204646699996
PL,151,5130.881630599999
FR,152,8212.332646700008
PL,152,5022.535630599998
FR,153,2944.0936467000047
PL,153,2508.5816305999997
PL,154,3324.7156306000015
PL,155,3227.771630600002
PL,156,3881.5496306000005
PL,157,5110.3136306
PL,158,6098.6356306
PL,159,5196.381630599999
PL,160,8220.375630600001
FR,161,1885.4096466999963
PL,161,8192.355630600001
FR,162,5652.722646700007
PL,162,7816.805630600002
FR,163,5288.544646700007
PL,163,7658.005630599999
FR,164,866.6946466999998
PL,164,6939.875630600001
PL,165,5259.755630599999
PL,166,2348.5620000000017
PL,167,2205.3056306000017
PL,168,1145.7756305999992
PL,169,517.3056306000017
PL,170,112.35563060000095
PL,171,184.40563060000022
PL,172,465.50563059999877
PL,173,1240.0256305999992
PL,174,4346.982
FR,175,544.9826467000003
PL,175,5568.055630600002
FR,176,1533.765646699996
PL,176,5824.079630599999
PL,177,5269.4236306
PL,178,4587.377630599998
PL,179,4535.793630599999
PL,180,4682.311630600003
PL,181,5265.3336306
PL,182,4130.589630600001
PL,183,4892.203630599999
PL,184,7865.775630599999
PL,185,7979.625630600001
FR,186,2659.809646700005
PL,186,7630.7256306
FR,187,2325.3286467000053
PL,187,7468.625630600001
PL,188,4856.675630600001
PL,189,5350.882000000001
PL,190,3211.6556306
PL,191,1866.9756306
PL,192,1038.5256305999992
PL,193,485.1256306000014
PL,194,142.17563060000066
PL,195,511.362000000001
PL,196,296.2756305999992
PL,197,1044.3056306000017
PL,198,3814.6556306
PL,199,5416.8256305999985
PL,200,5790.411630599998
PL,201,5224.521630599998
PL,202,4991.307630600002
PL,203,5561.492000000002
PL,204,5401.8876306
PL,205,6146.4736305999995
PL,206,6514.057630600002
PL,207,6701.2056305999995
PL,208,5821.505630599999
PL,209,7380.355630600001
PL,210,7031.5756305999985
PL,211,6772.2056305999995
PL,212,5914.925630600001
PL,213,4216.4556305999995
PL,214,2881.7056305999995
PL,215,1728.3056306000017
PL,216,529.855630600001
PL,222,685.355630600001
PL,224,775.8876306000002
PL,225,3370.0196306000016
PL,226,3706.471630599999
PL,227,3875.775630599999
PL,228,4216.762000000002
PL,229,3919.337630600001
PL,230,2117.3216306000013
PL,231,3844.1836305999987
PL,232,4845.025630599999
PL,233,4720.555630600002
PL,234,4129.5756305999985
PL,235,2149.0056305999988
PL,236,3217.355630600001
PL,237,594.0620000000017
PL,254,995.5776305999989
PL,255,1431.203630599999
PL,256,1105.7056305999995
PL,257,3207.9756306
PL,258,1533.605630600001
PL,259,3267.2556305999988
PL,260,2484.7556305999988
PL,262,717.6756306000007
PL,269,107.0619999999999
PL,270,3395.5319999999992
PL,271,4956.7256306
PL,272,5473.823630600002
PL,273,3210.3656305999993
PL,274,4262.347630600003
PL,275,3992.4156306000023
PL,276,4604.341630600002
PL,277,5614.543630599999
PL,278,6509.66
PL,279,4828.603630599997
PL,280,7523.3256305999985
PL,281,7610.175630600001
PL,282,7284.555630600002
PL,283,7109.5756305999985
PL,284,6295.6556306
PL,285,4721.1556306
PL,286,1374.7556305999988
PL,287,1689.9556305999995
PL,288,555.6256306000014
PL,292,332.91200000000026
PL,294,3586.0556306000017
PL,295,5649.132000000001
PL,296,5119.133630599999
PL,297,3900.077630599999
PL,298,2538.8536306000005
PL,300,828.0096305999996
PL,301,1076.9936306
PL,302,2506.0216305999984
PL,303,4952.699630600002
PL,304,6912.255630599999
PL,305,5614.775630599999
PL,306,7130.4556305999995
PL,307,7017.105630600001
PL,308,6218.525630599999
PL,309,4512.9556305999995
PL,310,3403.011999999999
PL,312,495.1164152884485
PL,317,705.355630600001
PL,318,3604.1256306000014
PL,319,5095.953630599999
PL,320,4901.9556305999995
PL,321,1793.3716306000006
PL,322,1737.5976305999993
PL,323,1024.9976305999971
PL,324,1564.699630600002
PL,325,2948.7996306000005
PL,326,4336.983630599998
PL,327,6010.207999999999
PL,328,7066.4556305999995
PL,329,7324.805630600002
PL,330,7194.355630600001
PL,331,7074.775630599999
PL,332,6272.675630600001
PL,333,2798.4556305999995
PL,334,2835.275630599999
PL,335,1566.5756305999985
PL,336,379.1256306000014
PL,341,1029.982
PL,342,3506.4756306
PL,343,5060.855630600001
PL,344,4979.143630599998
PL,345,3871.3136305999997
PL,346,2781.9480000000003
PL,347,1875.1816305999982
PL,349,2229.9416306000003
PL,350,3629.5656306
PL,351,5520.4476306000015
PL,352,7326.4556305999995
PL,353,7543.2056305999995
PL,354,7184.0756305999985
PL,355,6985.875630600001
PL,356,4633.875630600001
PL,357,4757.7256306
PL,358,3047.9556305999995
PL,360,552.8756306000014
PL,366,3535.9556305999995
PL,367,4990.933630599999
PL,368,4299.003630599998
PL,369,2407.5536306000013
PL,370,445.1919999999991
PL,374,3028.515630600001
PL,375,5140.289630600002
PL,376,6909.555630600002
PL,377,7152.355630600001
FR,378,550.1401635715065
PL,378,6763.2056305999995
PL,379,5188.511999999999
PL,380,5666.4056306
PL,381,4020.4556305999995
PL,382,2523.3256305999985
PL,384,268.47563059999993
PL,391,1233.2316306000012
PL,392,2011.2459999999992
PL,393,1275.6176305999998
PL,395,704.2416305999996
PL,398,2366.591630599998
PL,399,3350.395630599998
PL,400,4632.925630600001
PL,401,3021.8756306000014
PL,402,4473.525630599999
PL,403,4214.7056305999995
PL,404,1802.7056305999995
PL,405,517.7256305999999
PL,406,1141.3756306000014
PL,407,335.0119999999988
PL,424,2826.0319999999992
PL,425,1227.8256305999985
PL,426,1351.9556305999995
