zone,hour,value
BE,138,507.6455635715024
CZ,160,468.5863972245006
PL,160,902.6756306000016
CZ,161,569.9163972245005
PL,161,874.6556306000011
CZ,162,383.9563972244996
PL,162,499.10563060000186
CZ,163,283.2763972244993
PL,163,340.30563059999895
CZ,184,388.23639722450025
PL,184,548.0756305999994
CZ,185,478.9063972245003
PL,185,661.9256306000016
CZ,186,246.3263972245004
PL,186,313.0256306000001
CZ,187,149.81639722450018
PL,187,150.92563060000157
CZ,208,176.34639722449901
PL,208,208.80563059999895
CZ,209,126.21639722449981
PL,209,62.65563060000113
CZ,280,124.40639722450032
PL,280,205.62563059999866
CZ,281,185.53639722449952
PL,281,292.47563060000084
CZ,329,124.53639722449952
PL,329,7.105630600001859
CZ,352,21.706397224499597
PL,352,8.755630599999677
CZ,353,191.1463972245001
PL,353,225.50563059999968
CZ,449,169.11639722449945
PL,449,28.155630600001132
BE,450,2491.900816871501
FR,450,606.1256466999967
BE,451,1952.016916871502
FR,451,652.2236466999948
BE,464,211.4856635715023
CZ,472,109.73202782449971
CZ,473,288.5763972245004
PL,473,170.47563060000084
BE,474,1829.9221168715012
CZ,474,30.682027824500437
FR,474,806.3216466999929
BE,475,1465.4943668715
FR,475,778.1896466999951
BE,488,277.1267635714971
CZ,497,249.11202782450073
BE,498,1883.5779168715017
FR,498,1059.7566467000051
BE,499,1486.9414168715011
FR,499,829.8176467000067
BE,511,103.91156357150385
BE,512,1205.2304168714995
FR,512,298.98964669999805
CZ,520,106.4120278245
CZ,521,172.73639722450025
PL,521,265.2756306000001
BE,522,2039.9128168714997
FR,522,2139.6716466999987
BE,523,1617.1152168714998
FR,523,2257.1296466999975
BE,535,1708.2394168715
FR,535,1184.1866466999982
BE,536,1997.2545168715005
FR,536,1807.2496467000074
CZ,545,172.16639722450054
PL,545,265.5256306000001
BE,546,1246.5756168714993
FR,546,2805.0806466999984
BE,547,426.25261687149896
FR,547,2446.639646700007
CZ,617,370.2063972244996
PL,617,114.25563059999968
CZ,618,120.36202782449891
CZ,641,364.93639722449916
PL,641,345.17563060000157
CZ,642,223.3620278244989
CZ,665,394.75639722449887
PL,665,93.55563059999895
CZ,666,125.97202782449949
CZ,689,166.45202782450087
CZ,713,125.59639722449901
PL,713,47.35563060000186
CZ,785,326.72639722450003
PL,785,102.51754059999712
BE,786,1947.1649168714994
FR,786,1002.9036467000024
BE,787,2001.358266871499
FR,787,2055.5516467000034
BE,799,1676.179716871502
FR,799,1053.5776467000014
BE,800,1544.2870168714999
FR,800,918.7246466999986
CZ,809,427.2063972244996
PL,809,579.0056305999997
SE,809,119.4412599999996
BE,810,1459.789416871501
CZ,810,279.85639722449923
FR,810,2483.1786466999965
PL,810,136.3479905999984
BE,811,982.0399168715007
FR,811,3303.305646700004
BE,823,970.0388635714967
CZ,833,518.5663972245002
PL,833,530.8789905999975
BE,834,1307.1162168714995
CZ,834,376.0163972244991
FR,834,2576.3986466999977
PL,834,54.42563060000157
BE,835,989.7932668714998
CZ,835,72.21202782449927
FR,835,3843.4066466999993
BE,847,1536.2567168714995
FR,847,1226.4936466999989
BE,848,209.4666635715089
CZ,857,608.2263972245
PL,857,360.7171905999994
BE,858,435.8827168715011
CZ,858,445.29639722449974
FR,858,4425.404646700006
PL,858,134.22563060000084
BE,859,179.28926687149897
CZ,859,309.55202782450124
FR,859,5109.6946467
FR,860,186.16946357150027
FR,871,2659.5164635714946
FR,872,698.2006467000083
CZ,881,396.8963972245001
PL,881,246.12563059999866
CZ,882,199.35639722449923
FR,882,4176.336063571506
PL,882,48.02563060000011
FR,883,4788.966163571508
FR,884,530.941963571503
CZ,953,483.3963972245001
PL,953,13.125630599998658
CZ,954,175.3520278245005
BE,955,1450.271063571503
CZ,977,58.31202782449964
CZ,1001,26.832027824498255
CZ,7840,185.58639722450062
PL,7840,229.92563060000157
CZ,7841,134.43639722449916
PL,7841,245.50563059999968
CZ,7864,234.18639722449916
PL,7864,236.2156305999988
CZ,7865,233.94639722449938
PL,7865,386.3356306000014
CZ,7888,446.91639722450054
PL,7888,579.8556306000019
CZ,7889,333.91639722450054
PL,7889,517.6756306000016
CZ,7912,269.36639722449945
PL,7912,579.315630600001
CZ,7913,212.47639722450003
PL,7913,495.2856305999985
PL,7914,16.10202782450051
CZ,7936,62.04639722449974
PL,7936,705.555630599999
PL,7937,602.1120278244989
CZ,8032,171.73639722450025
PL,8032,54.565630600000986
CZ,8033,104.92639722449894
PL,8033,104.41563059999953
CZ,8056,128.83639722450062
PL,8056,477.065630600001
CZ,8057,31.18639722449916
PL,8057,284.2056306000004
PL,8080,341.8720278244991
CZ,8081,83.92639722449894
PL,8081,246.30563059999895
CZ,8176,239.0763972245004
PL,8176,47.60563060000186
CZ,8177,228.87639722449967
PL,8177,12.815630600000986
CZ,8200,145.1363972244999
PL,8200,197.72563060000084
CZ,8201,148.21639722449981
PL,8201,132.72563060000084
CZ,8223,173.91202782450182
CZ,8224,456.2163972244998
PL,8224,496.18563059999997
CZ,8225,263.49639722450047
PL,8225,306.0856306000014
CZ,8248,273.25639722449887
PL,8248,188.61563060000026
CZ,8249,280.5863972245006
PL,8249,153.0156306000017
CZ,8272,231.23639722450025
PL,8272,116.40563060000113
CZ,8273,25.712027824501092
CZ,8344,366.7863972244995
PL,8344,615.276540599999
CZ,8345,274.05639722449996
PL,8345,476.48184059999676
CZ,8346,7.826397224500397
PL,8346,70.75563059999968
CZ,8367,68.17639722449894
PL,8367,33.00563059999968
CZ,8368,253.3863972244999
PL,8368,820.1156306000003
CZ,8369,135.03639722449952
PL,8369,585.6756306000016
PL,8370,55.17202782450204
CZ,8392,217.0263972244993
PL,8392,624.3256305999994
CZ,8393,176.28639722449952
PL,8393,475.18563059999997
CZ,8416,125.5263972244993
PL,8416,415.16563059999953
CZ,8417,30.786397224499524
PL,8417,122.3856306000007
