from,to,constrained_maximum_mean
AT,CH,0.43595890410958904
AT,CZ,0.45331050228310504
AT,DE,0.14463470319634703
AT,IT,0.6063926940639269
BE,DE,0.7025114155251142
BE,FR,0.49920091324200916
BE,NL,0.4286529680365297
BE,UK,0.9017123287671233
CH,DE,0.48926940639269406
CH,FR,0.6412100456621005
CH,IT,0.4794520547945205
CZ,DE,0.1860730593607306
CZ,PL,0.8639269406392694
DE,DK,0.2687214611872146
DE,FR,0.6450913242009132
DE,NL,0.6743150684931507
DE,NO,0.7779680365296804
DE,PL,0.7899543378995434
DE,SE,0.7150684931506849
DK,NL,0.4906392694063927
DK,NO,0.5195205479452055
DK,SE,0.6221461187214612
ES,FR,0.8745433789954338
FR,IT,0.6575342465753424
FR,UK,0.9695205479452055
NL,NO,0.5028538812785388
NL,UK,0.9218036529680366
NO,SE,0.6691780821917809
PL,SE,0.8583333333333333
