zone,mc_el_maximum_mean,mc_el_maximum_std
FR,59.62982105677669,36.262774546080045
AT,67.99926202276262,18.390703796598256
BE,65.72690908120224,43.528783475176546
CH,23.061096004026393,2.4880820801180326
CZ,17.81914356006899,3.201576893214115
DE,69.32080675387188,18.66208243455901
DK,67.02058761665683,19.922453635072127
ES,80.1316805633494,22.837701400484526
IT,79.17981871811804,22.382585784507437
PL,70.53493218596796,21.722396989292598
SE,69.51686689477458,11.063424887985173
UK,104.85181104139991,10.299715535670382
NO,8.299163199712726,1.987610252312099
NL,76.0858845227714,18.729763984578046
