zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,565.8761184324062,7505.0,-1728.0244751519144,0.0782136998524404,0.23024976351124776
BE,6700.0,3180.691068741419,6200.0,-1467.9645327845928,0.47473001025991324,0.23676847302977305
CH,8960.0,2336.4979710855873,11340.0,-3741.7484546409605,0.2607698628443736,0.3299601811852699
CZ,3200.0,1103.2077276492873,3500.0,-504.1733657257825,0.3447524148904023,0.1440495330645093
DE,26030.0,5014.163189265673,21765.0,-7823.619834772421,0.192630164781624,0.35945875647932096
DK,6820.0,1289.9909633291,7545.0,-2769.4414531866914,0.1891482350922434,0.36705652129710953
ES,2800.0,1677.5561154619509,2600.0,-813.4672628308421,0.5991271840935539,0.3128720241657085
FR,12310.0,2620.03689900603,17450.0,-9354.556291808185,0.2128380909021958,0.5360777244589218
IT,9045.0,4673.692364678082,4455.0,-445.6460360383448,0.5167155737620877,0.10003278025552072
NL,9050.0,3740.5224855406245,8050.0,-2076.5981083237234,0.41331740171719605,0.25796249792841286
NO,7735.0,1794.4817047849192,7435.0,-3133.6006300269546,0.23199504909953705,0.4214661237426973
PL,1700.0,351.41116701381924,3900.0,-2283.36652904591,0.20671245118459955,0.5854785971912589
SE,7350.0,4450.858365145063,7190.0,-416.6484029794981,0.6055589612442263,0.057948317521487915
UK,4000.0,3812.626821930175,4000.0,-52.75758474831808,0.9531567054825437,0.013189396187079521
