from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,72.43078540075297,0.060358987833960806,0.0523972602739726,0.05410958904109589
CZ,AT,800.0,164.7456408232651,0.20593205102908135,0.13972602739726028,0.15296803652968036
DE,AT,5000.0,262.1106529470714,0.05242213058941428,0.003995433789954338,0.006278538812785388
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,3.527622243606917,0.015011158483433689,0.013242009132420091,0.013812785388127854
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,834.7316758525941,0.8347316758525941,0.7954337899543379,0.8031963470319635
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,2123.6461360612475,0.6435291321397719,0.48926940639269406,0.5144977168949771
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,486.0949968988957,0.3472107120706398,0.2614155251141553,0.27385844748858446
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,9.068036960190286,0.009068036960190286,0.003995433789954338,0.0045662100456621
AT,CH,1200.0,430.10249742257207,0.3584187478521434,0.3156392694063927,0.3247716894977169
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,878.5426140941745,0.32538615336821275,0.2560502283105023,0.2684931506849315
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,1211.0624907264184,0.38446428277029154,0.30947488584474886,0.3208904109589041
IT,CH,1910.0,25.287247763634593,0.013239396734887221,0.007534246575342466,0.008333333333333333
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,300.3749745155599,0.3337499716839555,0.2560502283105023,0.27294520547945206
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,257.20751610574655,0.17147167740383104,0.0795662100456621,0.08984018264840182
DK,CZ,0.0,0.0,0.0,0.0,0.0
