from,to,constrained_maximum_mean
AT,CH,0.33801369863013697
AT,CZ,0.37226027397260275
AT,DE,0.06027397260273973
AT,IT,0.6108447488584475
BE,DE,0.6518264840182648
BE,FR,0.3845890410958904
BE,NL,0.3900684931506849
BE,UK,0.8955479452054794
CH,DE,0.45559360730593607
CH,FR,0.5611872146118722
CH,IT,0.3236301369863014
CZ,DE,0.11506849315068493
CZ,PL,0.8376712328767123
DE,DK,0.2509132420091324
DE,FR,0.5189497716894977
DE,NL,0.5265981735159817
DE,NO,0.7313926940639269
DE,PL,0.7301369863013699
DE,SE,0.683675799086758
DK,NL,0.3102739726027397
DK,NO,0.413013698630137
DK,SE,0.46449771689497715
ES,FR,0.8550228310502284
FR,IT,0.6160958904109589
FR,UK,0.9691780821917808
NL,NO,0.4567351598173516
NL,UK,0.9188356164383562
NO,SE,0.5714611872146119
PL,SE,0.8160958904109589
