zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,818.3587501303994,6004.0,-1615.1269157159304,0.14138886491541108,0.26900848029912233
BE,5360.0,2493.9034358889635,4960.0,-2595.4909766406345,0.465280491770329,0.5232844710969021
CH,7168.0,2464.160691688192,9072.0,-6157.660088072714,0.34377241792525,0.6787544188792674
CZ,2560.0,276.3350562750095,2800.0,-1164.0251025144198,0.10794338135742558,0.4157232508980071
DE,20824.0,7872.72313684122,17412.0,-6017.889129504406,0.3780600814848838,0.34561734031153263
DK,5456.0,2444.8706753806628,6036.0,-2480.074650349984,0.44810679534103054,0.4108804921056965
ES,2240.0,1552.1641268963424,2080.0,-408.49000664470367,0.69293041379301,0.19638942627149214
FR,9848.0,890.6929746154439,13960.0,-11299.863083515625,0.0904440469755731,0.8094457796214631
IT,7236.0,6700.02565326156,3564.0,-70.90276484783331,0.9259294711527861,0.01989415399770856
NL,7240.0,6077.873576212999,6440.0,-808.945032541046,0.839485300581906,0.125612582692709
NO,6188.0,1029.383802158698,5948.0,-2369.132028794813,0.16635161637988008,0.39830733503611515
PL,1360.0,1325.4494189768534,3120.0,-54.49753992098128,0.9745951610123922,0.017467160231083745
SE,5880.0,427.68730194024675,5752.0,-2510.0943924773937,0.0727359357041236,0.43638636865045094
UK,3200.0,3181.97917374267,3200.0,-3.4160624687740424,0.9943684917945843,0.0010675195214918881
