from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,253.3609283749561,0.2111341069791301,0.18698630136986302,0.1908675799086758
CZ,AT,800.0,96.80093037432819,0.12100116296791023,0.07819634703196347,0.0863013698630137
DE,AT,5000.0,191.0868752404412,0.03821737504808824,0.003538812785388128,0.006050228310502283
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,1.6254240585901185,0.0069166981216600785,0.006506849315068493,0.006506849315068493
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,554.9699947400019,0.5549699947400019,0.4886986301369863,0.5035388127853881
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,2550.8802947083022,0.7729940286994855,0.6699771689497717,0.6949771689497717
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,10.77718375554097,0.007697988396814978,0.002397260273972603,0.003424657534246575
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,0.35972205153784265,0.00035972205153784266,0.00034246575342465754,0.00034246575342465754
AT,CH,1200.0,210.93300068336293,0.17577750056946911,0.1545662100456621,0.15719178082191781
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,518.4344119743953,0.19201274517570197,0.14703196347031963,0.154337899543379
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,2143.3979035646134,0.6804437789094011,0.6470319634703197,0.6519406392694064
IT,CH,1910.0,16.00101703562692,0.008377495830171161,0.0046803652968036525,0.005251141552511416
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,139.54946049188067,0.15505495610208964,0.10319634703196347,0.11175799086757991
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,173.36417982853504,0.11557611988569003,0.0728310502283105,0.08025114155251141
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,800.0,15.117910464366942,0.018897388080458676,0.017123287671232876,0.01769406392694064
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,5000.0,616.1092069225447,0.12322184138450894,0.048287671232876715,0.06301369863013699
BE,DE,1000.0,200.41224883893017,0.20041224883893016,0.15513698630136985,0.16335616438356165
CH,DE,4600.0,2281.6275578966015,0.4960059908470873,0.392351598173516,0.4035388127853881
CZ,DE,2100.0,537.6721659369501,0.256034364731881,0.05228310502283105,0.07408675799086759
DK,DE,2765.0,1792.5474820496531,0.6482992701807063,0.46312785388127853,0.522945205479452
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1800.0,1248.5338258177253,0.6936299032320696,0.6837899543378996,0.6861872146118722
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,4250.0,0.0,0.0,0.0,0.0
NO,DE,1400.0,1030.2652354361894,0.7359037395972782,0.7333333333333333,0.733675799086758
PL,DE,2500.0,62.05823552207757,0.024823294208831028,0.01997716894977169,0.021461187214611873
SE,DE,615.0,454.00888495251183,0.7382258291910762,0.7368721461187214,0.736986301369863
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2500.0,468.19120481867134,0.18727648192746854,0.1317351598173516,0.14509132420091325
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,700.0,4.375662360515081,0.006250946229307258,0.004223744292237443,0.0046803652968036525
NO,DK,1640.0,1190.5562605794428,0.725948939377709,0.6922374429223744,0.7022831050228311
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1980.0,1415.5613476185524,0.7149299735447234,0.6615296803652968,0.6761415525114155
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2800.0,1904.5049308651621,0.6801803324518436,0.6640410958904109,0.6680365296803653
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1800.0,16.775334368994454,0.00931963020499692,0.0046803652968036525,0.005365296803652968
CH,FR,1300.0,133.08793311381302,0.10237533316447156,0.08618721461187215,0.08904109589041095
CZ,FR,0.0,0.0,0.0,0.0,0.0
