zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,950.5288315054077,7505.0,-2134.786449407196,0.13137924416107916,0.28444856088037257
BE,6700.0,2905.816642862634,6200.0,-1661.1801741443803,0.4337039765466618,0.2679322861523194
CH,8960.0,3593.276112749072,11340.0,-4417.223671197779,0.40103528044074466,0.38952589693102113
CZ,3200.0,1395.1452337894336,3500.0,-346.29456880529153,0.435982885559198,0.09894130537294044
DE,26030.0,2381.9736270597696,21765.0,-14433.175744445352,0.09150878321397501,0.663136951272472
DK,6820.0,1613.9033236043167,7545.0,-3358.823414075839,0.23664271607101417,0.44517208934073416
ES,2800.0,0.7776469748858443,2600.0,-2506.242895144813,0.00027773106245923014,0.9639395750556973
FR,12310.0,10868.81343480197,17450.0,-577.9466950782233,0.8829255430383404,0.033120154445743455
IT,9045.0,3672.954993093099,4455.0,-2130.9548916183862,0.4060757316852514,0.47832881966742674
NL,9050.0,5104.8525392350575,8050.0,-2345.093748232209,0.5640721037828793,0.2913159935692185
NO,7735.0,1946.0809809416626,7435.0,-3285.850436632597,0.25159417982439075,0.4419435691503157
PL,1700.0,319.76246019385843,3900.0,-2900.4930681432984,0.1880955648199167,0.7437161713187944
SE,7350.0,6102.384297269574,7190.0,-200.65410131979903,0.8302563669754522,0.027907385440862173
UK,4000.0,1647.3372428751663,4000.0,-2204.8875087107444,0.41183431071879156,0.5512218771776861
