from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,0.3324121835282359,0.0002770101529401966,0.00011415525114155251,0.00011415525114155251
CZ,AT,800.0,75.65857749298355,0.09457322186622945,0.03721461187214612,0.04486301369863014
DE,AT,5000.0,830.0613583657228,0.16601227167314456,0.0061643835616438354,0.015867579908675798
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,0.9304085322111874,0.003959185243451861,0.0038812785388127853,0.0038812785388127853
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,984.6630115995945,0.9846630115995945,0.9811643835616438,0.9819634703196347
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,121.48053276197479,0.03681228265514387,0.014155251141552512,0.016095890410958904
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,1225.9091891879875,0.8756494208485626,0.8409817351598173,0.848744292237443
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,589.0131408179856,0.5890131408179856,0.5384703196347032,0.5477168949771689
AT,CH,1200.0,1125.0189522603835,0.9375157935503196,0.9300228310502283,0.9315068493150684
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
