zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,689.7283844829406,7505.0,-1935.8929265234892,0.09533218859473953,0.2579470921417041
BE,6700.0,2858.3743010623193,6200.0,-1679.0241823051388,0.4266230300093014,0.2708103519846998
CH,8960.0,2161.8277952025455,11340.0,-2999.0948248131194,0.24127542357171267,0.26447044310521334
CZ,3200.0,1424.8502782622306,3500.0,-389.72869762098543,0.4452657119569471,0.1113510564631387
DE,26030.0,4590.238176922884,21765.0,-9348.71078080554,0.1763441481722199,0.4295295557457175
DK,6820.0,1334.6561465647915,7545.0,-3168.3175126356564,0.19569738219425095,0.4199227982287152
ES,2800.0,1.285539107876472,2600.0,-2514.733457423815,0.00045912110995588283,0.9672051759322364
FR,12310.0,10944.43703160637,17450.0,-564.0185401651228,0.8890688084164395,0.03232197937909013
IT,9045.0,825.0299938642357,4455.0,-2694.405653500947,0.09121392966989893,0.6048048604940398
NL,9050.0,1959.3043622550415,8050.0,-4048.2824543966185,0.21649771958619243,0.5028922303598284
NO,7735.0,1624.6607388526988,7435.0,-3242.216340292265,0.21004017309020023,0.4360748272081056
PL,1700.0,642.9476022005837,3900.0,-1121.5857209381456,0.3782044718826963,0.2875860822918322
SE,7350.0,5592.604263921381,7190.0,-323.72650689333466,0.7608985393090314,0.045024548942049325
UK,4000.0,1604.9856432027073,4000.0,-2225.19265919443,0.4012464108006768,0.5562981647986075
