from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,214.2129280250797,0.17851077335423307,0.16929223744292238,0.1704337899543379
CZ,AT,800.0,53.1707305364314,0.06646341317053925,0.030593607305936073,0.03458904109589041
DE,AT,5000.0,331.52598834837636,0.06630519766967527,0.0029680365296803654,0.004223744292237443
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,79.89421119027686,0.3399753667671356,0.33812785388127853,0.3384703196347032
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,981.9086800977956,0.9819086800977955,0.9745433789954338,0.9765981735159818
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,118.5620218263154,0.03592788540191376,0.013242009132420091,0.015525114155251141
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,1178.0944331058718,0.8414960236470512,0.7938356164383562,0.8037671232876712
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,594.9388623755308,0.5949388623755308,0.5469178082191781,0.5561643835616439
AT,CH,1200.0,470.0955629642861,0.3917463024702384,0.34863013698630135,0.3558219178082192
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,1291.6424181728503,0.47838608080475936,0.4334474885844749,0.4432648401826484
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,3.678128027468926,0.0011676596912599765,0.00011415525114155251,0.00011415525114155251
IT,CH,1910.0,383.22992076386555,0.2006439375727045,0.18105022831050227,0.18253424657534248
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,422.6983857725696,0.4696648730806329,0.401027397260274,0.41426940639269405
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,733.8538974723391,0.48923593164822604,0.325,0.3538812785388128
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,800.0,253.97099967272234,0.31746374959090295,0.21986301369863015,0.24452054794520547
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,5000.0,957.1943741178699,0.19143887482357397,0.09429223744292238,0.1139269406392694
BE,DE,1000.0,0.24339052269060144,0.00024339052269060143,0.0,0.0
CH,DE,4600.0,935.2628950074808,0.20331802065380017,0.17557077625570777,0.18025114155251143
CZ,DE,2100.0,98.90243118680235,0.04709639580323921,0.017123287671232876,0.022488584474885845
DK,DE,2765.0,224.03798865646692,0.081026397344111,0.009360730593607305,0.013356164383561644
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1800.0,0.6033133968567714,0.000335174109364873,0.00022831050228310502,0.00022831050228310502
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,4250.0,1482.0245634434666,0.348711661986698,0.3089041095890411,0.3192922374429224
NO,DE,1400.0,359.85705525379944,0.2570407537527139,0.2478310502283105,0.2505707762557078
PL,DE,2500.0,437.088801647658,0.1748355206590632,0.08253424657534246,0.09383561643835617
SE,DE,615.0,6.107566123394885,0.00993100182665835,0.009018264840182649,0.0091324200913242
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2500.0,808.2599133673831,0.3233039653469532,0.18881278538812785,0.2115296803652968
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,700.0,218.09346332899753,0.31156209046999644,0.2813926940639269,0.28698630136986303
NO,DK,1640.0,316.4326590367409,0.19294674331508593,0.1615296803652968,0.1658675799086758
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1980.0,8.091088214084168,0.004086408188931398,0.001141552511415525,0.001141552511415525
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2800.0,1.3642442322049435,0.000487230082930337,0.00034246575342465754,0.00034246575342465754
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1800.0,1256.5238096417008,0.6980687831342782,0.604337899543379,0.6237442922374429
CH,FR,1300.0,1231.3877776799727,0.9472213674461328,0.9352739726027397,0.9383561643835616
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,2300.0,2227.2549599465697,0.9683717217158998,0.9633561643835616,0.9642694063926941
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2600.0,2523.6180931097515,0.9706223435037505,0.9649543378995433,0.9670091324200913
IT,FR,2310.0,2136.363701766014,0.9248327713272788,0.9121004566210046,0.9147260273972603
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
