from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,2.407752639603023,0.002006460533002519,0.0007990867579908676,0.0009132420091324201
CZ,AT,800.0,10.381464857923492,0.012976831072404365,0.0058219178082191785,0.007077625570776256
DE,AT,5000.0,76.98290848579947,0.015396581697159894,0.0014840182648401827,0.0027397260273972603
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,176.78621701194345,0.7522817745189083,0.7515981735159817,0.7518264840182648
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,727.4643409440553,0.7274643409440553,0.6643835616438356,0.6767123287671233
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,111.44762187032282,0.03377200662737055,0.012785388127853882,0.015182648401826484
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,1054.6930537746532,0.7533521812676094,0.708675799086758,0.7198630136986301
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,607.2776555393443,0.6072776555393443,0.5748858447488584,0.5819634703196347
AT,CH,1200.0,345.12566013892166,0.2876047167824347,0.24554794520547946,0.2539954337899543
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,518.7058740235256,0.19211328667537983,0.1428082191780822,0.1506849315068493
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,5.963986840596439,0.0018933291557449012,0.00034246575342465754,0.00034246575342465754
IT,CH,1910.0,1462.6840334829383,0.7658031588915907,0.7571917808219178,0.758675799086758
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,725.4138010633279,0.8060153345148088,0.7552511415525114,0.7665525114155252
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,899.3912434872774,0.5995941623248516,0.38949771689497714,0.4328767123287671
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,800.0,0.0,0.0,0.0,0.0
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,5000.0,2890.285257712088,0.5780570515424176,0.41963470319634705,0.4415525114155251
BE,DE,1000.0,68.47057806590502,0.06847057806590502,0.04429223744292238,0.048287671232876715
CH,DE,4600.0,1533.213416060089,0.3333072643608889,0.2886986301369863,0.2958904109589041
CZ,DE,2100.0,69.46996170429854,0.03308093414490407,0.010730593607305937,0.01221461187214612
DK,DE,2765.0,355.10772801711533,0.12842955805320627,0.06872146118721462,0.07922374429223744
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1800.0,5.196548496839097,0.0028869713871328318,0.0019406392694063927,0.00228310502283105
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,4250.0,2367.75300614244,0.5571183543864565,0.3789954337899543,0.41940639269406393
NO,DE,1400.0,330.14272743406826,0.23581623388147732,0.22636986301369863,0.22876712328767124
PL,DE,2500.0,0.0,0.0,0.0,0.0
SE,DE,615.0,60.835150073271535,0.0989189432085716,0.08641552511415525,0.08938356164383561
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2500.0,865.4080642155274,0.34616322568621094,0.17180365296803654,0.19748858447488585
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,700.0,412.59349669127465,0.5894192809875353,0.5454337899543379,0.5537671232876712
NO,DK,1640.0,406.44316713711305,0.24783119947384943,0.22100456621004566,0.22557077625570776
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1980.0,57.94263587542807,0.02926395751284246,0.008675799086757991,0.010159817351598174
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2800.0,0.8996877471803651,0.00032131705256441614,0.00011415525114155251,0.00011415525114155251
