zone,mc_el_maximum_mean,mc_el_maximum_std
FR,778.9565365270619,383.7283447586653
AT,104.87596900349793,33.08653354952019
BE,221.72596616791432,279.30473828931645
CZ,65.49588327641601,224.10508532462802
DE,152.3724745969438,175.0058018958365
DK,106.44913327750217,50.375151570065405
ES,83.06177278258448,28.44207412181185
IT,83.29444991937855,16.33685667923371
NO,87.70693917001252,1.2520484167827562e-11
PL,982.8505417452891,124.13448512571837
SE,140.71107333042798,127.15705356694444
UK,172.1155325985272,216.74508798576173
CH,23.956537952742533,0.690237835012334
NL,85.6874654100827,35.42844374677746
