zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,344.160652647795,9006.0,-4472.280207028112,0.03964071097072046,0.49658896369399425
BE,8040.0,3123.7064705010393,7440.0,-2185.273983946462,0.3885207052861989,0.29371962149818037
CH,10752.0,2807.1335303931264,13608.0,-3662.4100772372985,0.26108012745471787,0.26913654300685613
CZ,3840.0,1700.7598993522317,4200.0,-808.5699231362436,0.44290622378964367,0.19251664836577229
DE,31236.0,8344.667890877266,26118.0,-9518.766814609968,0.2671490552848401,0.3644523629148468
DK,8184.0,2373.9142694097886,9054.0,-3681.910963876137,0.29006772597871316,0.40666125070423426
ES,3360.0,1.1922378079701978,3120.0,-3063.2840234124224,0.0003548326809435113,0.9818218023757764
FR,14772.0,13485.874532275417,20940.0,-510.9674439158163,0.9129349128266596,0.02440150161966649
IT,10854.0,547.0681499646273,5346.0,-4660.97267928193,0.05040244609956028,0.8718617058140535
NL,10860.0,1930.700747760083,9660.0,-5521.9664204020755,0.17778091600000764,0.5716321346171921
NO,9282.0,2488.70632742974,8922.0,-4274.508134523846,0.2681217762798686,0.4790975268464297
PL,2040.0,2018.887679620726,4680.0,-1.012165625847717,0.9896508233434931,0.0002162747063777173
SE,8820.0,6202.270753826632,8628.0,-903.7149113357794,0.7032053008873733,0.10474210840702126
UK,4800.0,1147.6623528737712,4800.0,-3251.067746408276,0.239096323515369,0.6773057805017242
