from_country,to_country,ntc
AT,BE,0
AT,CH,1200
AT,CZ,900
AT,DE,5000
AT,DK,0
AT,ES,0
AT,FR,0
AT,IT,405
AT,NL,0
AT,NO,0
AT,PL,0
AT,SE,0
AT,UK,0
BE,AT,0
BE,CH,0
BE,CZ,0
BE,DE,1000
BE,DK,0
BE,ES,0
BE,FR,1800
BE,IT,0
BE,NL,2400
BE,NO,0
BE,PL,0
BE,SE,0
BE,UK,1000
CH,AT,1200
CH,BE,0
CH,CZ,0
CH,DE,4600
CH,DK,0
CH,ES,0
CH,FR,1300
CH,IT,4240
CH,NL,0
CH,NO,0
CH,PL,0
CH,SE,0
CH,UK,0
CZ,AT,800
CZ,BE,0
CZ,CH,0
CZ,DE,2100
CZ,DK,0
CZ,ES,0
CZ,FR,0
CZ,IT,0
CZ,NL,0
CZ,NO,0
CZ,PL,600
CZ,SE,0
CZ,UK,0
DE,AT,5000
DE,BE,1000
DE,CH,2700
DE,CZ,1500
DE,DK,2500
DE,ES,0
DE,FR,2300
DE,IT,0
DE,NL,4250
DE,NO,1400
DE,PL,500
DE,SE,615
DE,UK,0
DK,AT,0
DK,BE,0
DK,CH,0
DK,CZ,0
DK,DE,2765
DK,ES,0
DK,FR,0
DK,IT,0
DK,NL,700
DK,NO,1640
DK,PL,0
DK,SE,2440
DK,UK,0
ES,AT,0
ES,BE,0
ES,CH,0
ES,CZ,0
ES,DE,0
ES,DK,0
ES,FR,2600
ES,IT,0
ES,NL,0
ES,NO,0
ES,PL,0
ES,SE,0
ES,UK,0
FR,AT,0
FR,BE,3300
FR,CH,3150
FR,CZ,0
FR,DE,1800
FR,DK,0
FR,ES,2800
FR,IT,4400
FR,NL,0
FR,NO,0
FR,PL,0
FR,SE,0
FR,UK,2000
IT,AT,235
IT,BE,0
IT,CH,1910
IT,CZ,0
IT,DE,0
IT,DK,0
IT,ES,0
IT,FR,2310
IT,NL,0
IT,NO,0
IT,PL,0
IT,SE,0
IT,UK,0
NL,AT,0
NL,BE,1400
NL,CH,0
NL,CZ,0
NL,DE,4250
NL,DK,700
NL,ES,0
NL,FR,0
NL,IT,0
NL,NO,700
NL,PL,0
NL,SE,0
NL,UK,1000
NO,AT,0
NO,BE,0
NO,CH,0
NO,CZ,0
NO,DE,1400
NO,DK,1640
NO,ES,0
NO,FR,0
NO,IT,0
NO,NL,700
NO,PL,0
NO,SE,3695
NO,UK,0
PL,AT,0
PL,BE,0
PL,CH,0
PL,CZ,800
PL,DE,2500
PL,DK,0
PL,ES,0
PL,FR,0
PL,IT,0
PL,NL,0
PL,NO,0
PL,SE,600
PL,UK,0
SE,AT,0
SE,BE,0
SE,CH,0
SE,CZ,0
SE,DE,615
SE,DK,1980
SE,ES,0
SE,FR,0
SE,IT,0
SE,NL,0
SE,NO,3995
SE,PL,600
SE,UK,0
UK,AT,0
UK,BE,1000
UK,CH,0
UK,CZ,0
UK,DE,0
UK,DK,0
UK,ES,0
UK,FR,2000
UK,IT,0
UK,NL,1000
UK,NO,0
UK,PL,0
UK,SE,0
