id,country,tech,fuel,mc_el,g_max,eta,disp,d_max,storage_capacity
FR_ccgt_gas,FR,ccgt,gas,97.4038576,6541,0.5219875,1,0,0
FR_ccot_oil,FR,ccot,oil,166.4261703,1640,0.605,1,0,0
FR_steam_hard coal,FR,steam,hard coal,71.24711445,2930,0.4297,1,0,0
FR_steam_uran,FR,steam,uran,17.96525901,63130,0.333,1,0,0
FR_steam_waste,FR,steam,waste,22.09569378,62,0.33,1,0,0
AT_ccgt_gas,AT,ccgt,gas,112.340535,4320.66,0.442605,1,0,0
AT_steam_gas,AT,steam,gas,124.0050104,13.5,0.3784,1,0,0
AT_steam_hard coal,AT,steam,hard coal,75.45953604,469,0.3775,1,0,0
AT_steam_waste,AT,steam,waste,22.79784689,752,0.33,1,0,0
BE_ccgt_gas,BE,ccgt,gas,86.73645573,4294.9,0.605,1,0,0
BE_ccot_oil,BE,ccot,oil,166.3838724,176.6,0.605,1,0,0
BE_steam_gas,BE,steam,gas,115.4464992,195,0.412,1,0,0
BE_steam_uran,BE,steam,uran,17.55275901,5919,0.333,1,0,0
BE_steam_waste,BE,steam,waste,7.2390625,649.4,1,1,0,0
CH_steam_uran,CH,steam,uran,17.93573668,3430,0.33,1,0,0
CZ_steam_uran,CZ,steam,uran,18.35275901,2533,0.333,1,0,0
CZ_steam_waste,CZ,steam,waste,7.338020833,3516,1,1,0,0
DE_ccgt_gas,DE,ccgt,gas,112.2842802,18788.7,0.438755906,1,0,0
DE_ccot_oil,DE,ccot,oil,267.4247559,3650.7,0.348416667,1,0,0
DE_generator_gas,DE,generator,gas,106.94846,42.8,0.4525,1,0,0
DE_steam_gas,DE,steam,gas,124.36117,5140.4,0.376088991,1,0,0
DE_steam_hard coal,DE,steam,hard coal,74.89823573,28201.3,0.384601064,1,0,0
DE_steam_lignite,DE,steam,lignite,55.72668676,20595.6,0.36356,1,0,0
DE_steam_uran,DE,steam,uran,17.71159875,10800,0.33,1,0,0
DE_steam_waste,DE,steam,waste,21.95382775,4067.2,0.33,1,0,0
DK_ccgt_gas,DK,ccgt,gas,110.4597959,530,0.443433333,1,0,0
DK_ccot_oil,DK,ccot,oil,167.3542006,665,0.605,1,0,0
DK_steam_hard coal,DK,steam,hard coal,74.20622127,1240,0.3925,1,0,0
DK_steam_waste,DK,steam,waste,22.80861244,1775,0.33,1,0,0
ES_ccgt_gas,ES,ccgt,gas,94.93444193,30066.126,0.547591525,1,0,0
ES_ccot_oil,ES,ccot,oil,166.8452991,2026.721,0.605,1,0,0
ES_generator_gas,ES,generator,gas,108.2270796,8.151,0.4448,1,0,0
ES_steam_hard coal,ES,steam,hard coal,75.34721222,6538.154,0.379736842,1,0,0
ES_steam_lignite,ES,steam,lignite,56.33742121,3081.16,0.351466667,1,0,0
ES_steam_uran,ES,steam,uran,18.15987461,7572.58,0.33,1,0,0
ES_steam_waste,ES,steam,waste,14.9907891,3516.495,0.667768595,1,0,0
IT_ccgt_gas,IT,ccgt,gas,86.92573732,63939.074,0.605,1,0,0
IT_ccgt_gas,IT,ccgt,gas,86.8016387,14276,0.605,1,0,0
IT_ccgt_hard coal,IT,ccgt,hard coal,68.79708792,5121,0.462,1,0,0
IT_ccgt_waste,IT,ccgt,waste,7.288541667,692,1,1,0,0
NO_ccgt_gas,NO,ccgt,gas,87.70693917,450,0.605,1,0,0
PL_ccgt_gas,PL,ccgt,gas,86.84715488,485,0.605,1,0,0
PL_steam_hard coal,PL,steam,hard coal,69.31042126,15257,0.462,1,0,0
PL_steam_lignite,PL,steam,lignite,53.84488908,9278,0.439,1,0,0
SE_ccgt_gas,SE,ccgt,gas,87.70925041,708,0.605,1,0,0
SE_ccot_oil,SE,ccot,oil,167.3352613,1759,0.605,1,0,0
SE_steam_hard coal,SE,steam,hard coal,69.73042126,130,0.462,1,0,0
SE_steam_uran,SE,steam,uran,18.44025901,9532,0.333,1,0,0
SE_steam_waste,SE,steam,waste,8.1921875,382,1,1,0,0
UK_ccgt_gas,UK,ccgt,gas,108.7088176,32600.3,0.455753922,1,0,0
UK_ccot_oil,UK,ccot,oil,167.2758604,1310.4,0.605,1,0,0
UK_steam_hard coal,UK,steam,hard coal,78.44125822,11776,0.347142857,1,0,0
UK_steam_uran,UK,steam,uran,18.43573668,8918,0.33,1,0,0
UK_steam_waste,UK,steam,waste,22.77682843,2967.3,0.33,1,0,0
FR_ccgt_biomass,FR,ccgt,biomass,12.36203091,268.14,0.6,1,0,0
BE_steam_biomass,BE,steam,biomass,18.25,363,0.4,1,0,0
CH_ccgt_biomass,CH,ccgt,biomass,12.99595291,40.1898,0.6,1,0,0
CH_generator_biomass,CH,generator,biomass,24,21,0.3,1,0,0
CZ_ccgt_biomass,CZ,ccgt,biomass,12.11368653,1482.213,0.6,1,0,0
DE_ccgt_biomass,DE,ccgt,biomass,12.82655964,7492.661955,0.6,1,0,0
DE_geothermal_sun,DE,geothermal,sun,0.951484432,39.544,1,1,0,0
DE_steam_biomass,DE,steam,biomass,19.43454791,841.4,0.38,1,0,0
DK_ccgt_biomass,DK,ccgt,biomass,12.11184695,195,0.6,1,0,0
ES_ccgt_biomass,ES,ccgt,biomass,12.04756958,285.146,0.6,1,0,0
PL_ccgt_biomass,PL,ccgt,biomass,12.98896247,1714.518,0.6,1,0,0
SE_ccgt_biomass,SE,ccgt,biomass,12.11000736,226,0.6,1,0,0
UK_ccgt_biomass,UK,ccgt,biomass,12.34334069,9058.6,0.6,1,0,0
FR_ror_renewable,FR,ror,renewable,1.803740559,6211.502562,1,0,0,0
FR_solar_renewable,FR,solar,renewable,0.374481063,11021.66173,1,0,0,0
FR_wind offshore_renewable,FR,wind offshore,renewable,5.307692308,1000.8,1,0,0,0
FR_wind onshore_renewable,FR,wind onshore,renewable,1.15818657,16036.06997,1,0,0,0
AT_ror_renewable,AT,ror,renewable,1.610681929,4661.3,1,0,0,0
AT_solar_renewable,AT,solar,renewable,0.015568429,2246.39,1,0,0,0
AT_wind onshore_renewable,AT,wind onshore,renewable,1.007348438,3880.455705,1,0,0,0
BE_ror_renewable,BE,ror,renewable,1.491426822,36.84012397,1,0,0,0
BE_solar_renewable,BE,solar,renewable,0.033309196,4182.02,1,0,0,0
BE_wind offshore_renewable,BE,wind offshore,renewable,5,2310,1,0,0,0
BE_wind onshore_renewable,BE,wind onshore,renewable,1.01445767,2389.642328,1,0,0,0
CH_ror_renewable,CH,ror,renewable,1.60627727,4336.409,1,0,0,0
CH_solar_renewable,CH,solar,renewable,0.993482983,2600.5,1,0,0,0
CH_wind onshore_renewable,CH,wind onshore,renewable,1.404347826,104.575,1,0,0,0
CZ_ror_renewable,CZ,ror,renewable,1.455450092,40.22638227,1,0,0,0
CZ_solar_renewable,CZ,solar,renewable,0.050325851,2402.33,1,0,0,0
CZ_wind onshore_renewable,CZ,wind onshore,renewable,1.020667483,600.2,1,0,0,0
DE_ror_renewable,DE,ror,renewable,1.546744234,2365.38,1,0,0,0
DE_solar_renewable,DE,solar,renewable,0.784214337,50449.03,1,0,0,0
DE_wind offshore_renewable,DE,wind offshore,renewable,5.5,7264.1,1,0,0,0
DE_wind onshore_renewable,DE,wind onshore,renewable,1.33219755,52378.45447,1,0,0,0
DK_solar_renewable,DK,solar,renewable,0.052136133,1115.44,1,0,0,0
DK_wind offshore_renewable,DK,wind offshore,renewable,5.115384615,2272.1,1,0,0,0
DK_wind onshore_renewable,DK,wind onshore,renewable,1.021432945,4346.2,1,0,0,0
ES_ror_renewable,ES,ror,renewable,1.883037355,36.65,1,0,0,0
ES_solar_renewable,ES,solar,renewable,0.010499638,8965.37,1,0,0,0
ES_wind onshore_renewable,ES,wind onshore,renewable,1.004745867,26101.6,1,0,0,0
IT_ror_renewable,IT,ror,renewable,1.61326918,5816.69,1,0,0,0
IT_solar_renewable,IT,solar,renewable,0.958001448,21896.44,1,0,0,0
