
country,tech,g_max_2030
AT,wind_onshore,10000
AT,solar,15000
BE,wind_onshore,5930
BE,wind_offshore,4300
BE,solar,13919
CH,wind_onshore,1252
CH,solar,11000
CZ,wind_onshore,3000
CZ,solar,10500
DE,wind_onshore,95501
DE,wind_offshore,17000
DE,solar,109875
DK,wind_onshore,5479
DK,wind_offshore,4183
DK,solar,4746
ES,wind_onshore,44704
ES,solar,44099
FR,wind_onshore,44111
FR,wind_offshore,3000
FR,solar,42632
IT,wind_onshore,19048
IT,wind_offshore,600
IT,solar,49329
NE,wind_onshore,8300
NE,wind_offshore,6720
NE,solar,15460
NO,wind_onshore,8148
NO,solar,2000
PL,wind_onshore,11280
PL,wind_offshore,900
PL,solar,12192
SE,wind_onshore,17804
SE,wind_offshore,350
SE,solar,4510
UK,wind_onshore,33651
UK,wind_offshore,18665
UK,solar,38419
