time;AL;AT;BA;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IT;LT;LU;LV;MD;ME;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK
01.01.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 05:00;0;0;0;0;0;0;0.065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 06:00;0.082;0;0.014;0;0.103;0;0.213;0;0;0;0;0;0;0;0;0.043;0.002;0.002;0;0.006;0;0;0;0.068;0.049;0.108;0.003;0;0;0;0;0.06;0.028;0;0;0.001
01.01.2015 07:00;0.308;0.033;0.237;0;0.283;0.054;0.355;0.004;0.005;0;0;0.007;0;0.011;0;0.151;0.117;0.061;0;0.142;0.001;0;0;0.178;0.264;0.282;0.044;0;0;0.003;0;0.205;0.192;0;0.087;0.046
01.01.2015 08:00;0.492;0.103;0.449;0.037;0.423;0.258;0.43;0.033;0.066;0.002;0.007;0.203;0;0.152;0;0.255;0.243;0.128;0;0.32;0.015;0.052;0.009;0.243;0.43;0.424;0.078;0.018;0;0.018;0.137;0.322;0.358;0;0.208;0.105
01.01.2015 09:00;0.603;0.156;0.563;0.188;0.508;0.41;0.521;0.083;0.155;0.004;0.012;0.381;0.003;0.302;0.005;0.331;0.328;0.172;0.001;0.443;0.031;0.171;0.019;0.262;0.55;0.526;0.098;0.087;0.005;0.04;0.335;0.381;0.467;0.004;0.291;0.145
01.01.2015 10:00;0.655;0.212;0.604;0.284;0.552;0.494;0.522;0.136;0.219;0.011;0.014;0.502;0.004;0.395;0.019;0.37;0.382;0.197;0.009;0.501;0.038;0.329;0.026;0.247;0.597;0.573;0.1;0.158;0.015;0.06;0.473;0.393;0.517;0.009;0.321;0.156
01.01.2015 11:00;0.646;0.253;0.583;0.32;0.533;0.52;0.45;0.123;0.236;0.014;0.009;0.562;0.002;0.429;0.028;0.353;0.391;0.176;0.021;0.504;0.033;0.467;0.022;0.183;0.58;0.564;0.09;0.143;0.018;0.063;0.55;0.346;0.495;0.007;0.304;0.141
01.01.2015 12:00;0.576;0.26;0.502;0.279;0.442;0.48;0.316;0.083;0.208;0.007;0.002;0.567;0;0.404;0.028;0.285;0.343;0.131;0.032;0.456;0.017;0.475;0.008;0.103;0.504;0.494;0.08;0.118;0.011;0.045;0.571;0.249;0.414;0.003;0.257;0.102
01.01.2015 13:00;0.436;0.203;0.355;0.184;0.284;0.382;0.12;0.069;0.131;0.001;0;0.521;0;0.328;0.024;0.183;0.239;0.071;0.036;0.359;0.001;0.372;0;0.028;0.36;0.366;0.052;0.084;0.001;0.021;0.54;0.127;0.27;0;0.175;0.039
01.01.2015 14:00;0.202;0.088;0.141;0.075;0.07;0.215;0.006;0.022;0.039;0;0;0.421;0;0.211;0.013;0.057;0.099;0.01;0.023;0.205;0;0.173;0;0;0.143;0.16;0.025;0.043;0;0.002;0.458;0.019;0.081;0;0.079;0.002
01.01.2015 15:00;0;0.002;0;0.005;0;0.028;0;0;0;0;0;0.264;0;0.07;0.001;0;0;0;0.004;0.028;0;0.009;0;0;0;0;0.002;0.001;0;0;0.322;0;0;0;0;0
01.01.2015 16:00;0;0;0;0;0;0;0;0;0;0;0;0.065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.132;0;0;0;0;0
01.01.2015 17:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
